Time (ns),spi_master_tb.dut.next_state
0,b0
300000,b1
310000,b10
2890000,b100
2910000,b0
3130000,b10
5710000,b100
5730000,b0
5740000,b0
5750000,b1
5770000,b10
5790000,b10
8350000,b100
8370000,b0
8390000,b1
8410000,b10
10990000,b100
11010000,b0
11020000,b0
11030000,b1
11050000,b10
11070000,b10
13630000,b100
13650000,b0
