Time (ns),SCLK,MOSI,MISO,SS_N,BUSY,IRQ,DATA
0,1,0,0,b11111111,0,0,bx
10000,1,0,0,b11111111,0,0,bx
20000,1,0,0,b11111111,0,0,bx
30000,1,0,0,b11111111,0,0,bx
40000,1,0,0,b11111111,0,0,bx
50000,1,0,0,b11111111,0,0,bx
60000,1,0,0,b11111111,0,0,bx
70000,1,0,0,b11111111,0,0,bx
80000,1,0,0,b11111111,0,0,bx
90000,1,0,0,b11111111,0,0,bx
100000,1,0,0,b11111111,0,0,bx
110000,1,0,0,b11111111,0,0,bx
120000,1,0,0,b11111111,0,0,bx
130000,1,0,0,b11111111,0,0,bx
140000,1,0,0,b11111111,0,0,bx
150000,1,0,0,b11111111,0,0,bx
160000,1,0,0,b11111111,0,0,bx
170000,1,0,0,b11111111,0,0,bx
180000,1,0,0,b11111111,0,0,bx
190000,1,0,0,b11111111,0,0,bx
200000,1,0,0,b11111111,0,0,bx
210000,1,0,0,b11111111,0,0,bx
220000,1,0,0,b11111111,0,0,bx
230000,1,0,0,b11111111,0,0,bx
240000,1,0,0,b11111111,0,0,bx
250000,1,0,0,b11111111,0,0,bx
260000,1,0,0,b11111111,0,0,bx
270000,1,0,0,b11111111,0,0,bx
280000,1,0,0,b11111111,0,0,bx
290000,1,0,0,b11111111,0,0,bx
300000,1,0,0,b11111111,0,0,bx
310000,1,0,0,b11110111,1,0,bx
320000,1,0,0,b11110111,1,0,bx
330000,1,0,0,b11110111,1,0,bx
340000,1,0,0,b11110111,1,0,bx
350000,1,0,0,b11110111,1,0,bx
360000,1,0,0,b11110111,1,0,bx
370000,1,0,0,b11110111,1,0,bx
380000,1,0,0,b11110111,1,0,bx
390000,1,0,0,b11110111,1,0,bx
400000,1,0,0,b11110111,1,0,bx
410000,1,0,0,b11110111,1,0,bx
420000,1,0,0,b11110111,1,0,bx
430000,0,1,0,b11110111,1,0,bx
440000,0,1,0,b11110111,1,0,bx
450000,0,1,0,b11110111,1,0,bx
460000,0,1,0,b11110111,1,0,bx
470000,0,1,0,b11110111,1,0,bx
480000,0,1,0,b11110111,1,0,bx
490000,0,1,0,b11110111,1,0,bx
500000,0,1,0,b11110111,1,0,bx
510000,1,1,0,b11110111,1,0,bx
520000,1,1,0,b11110111,1,0,bx
530000,1,1,0,b11110111,1,0,bx
540000,1,1,0,b11110111,1,0,bx
550000,1,1,0,b11110111,1,0,bx
560000,1,1,0,b11110111,1,0,bx
570000,1,1,0,b11110111,1,0,bx
580000,1,1,0,b11110111,1,0,bx
590000,0,0,0,b11110111,1,0,bx
600000,0,0,0,b11110111,1,0,bx
610000,0,0,0,b11110111,1,0,bx
620000,0,0,0,b11110111,1,0,bx
630000,0,0,0,b11110111,1,0,bx
640000,0,0,0,b11110111,1,0,bx
650000,0,0,0,b11110111,1,0,bx
660000,0,0,0,b11110111,1,0,bx
670000,1,0,0,b11110111,1,0,bx
680000,1,0,0,b11110111,1,0,bx
690000,1,0,0,b11110111,1,0,bx
700000,1,0,0,b11110111,1,0,bx
710000,1,0,0,b11110111,1,0,bx
720000,1,0,0,b11110111,1,0,bx
730000,1,0,0,b11110111,1,0,bx
740000,1,0,0,b11110111,1,0,bx
750000,0,1,0,b11110111,1,0,bx
760000,0,1,0,b11110111,1,0,bx
770000,0,1,0,b11110111,1,0,bx
780000,0,1,0,b11110111,1,0,bx
790000,0,1,0,b11110111,1,0,bx
800000,0,1,0,b11110111,1,0,bx
810000,0,1,0,b11110111,1,0,bx
820000,0,1,0,b11110111,1,0,bx
830000,1,1,0,b11110111,1,0,bx
840000,1,1,0,b11110111,1,0,bx
850000,1,1,0,b11110111,1,0,bx
860000,1,1,0,b11110111,1,0,bx
870000,1,1,0,b11110111,1,0,bx
880000,1,1,0,b11110111,1,0,bx
890000,1,1,0,b11110111,1,0,bx
900000,1,1,0,b11110111,1,0,bx
910000,0,0,0,b11110111,1,0,bx
920000,0,0,0,b11110111,1,0,bx
930000,0,0,0,b11110111,1,0,bx
940000,0,0,0,b11110111,1,0,bx
950000,0,0,0,b11110111,1,0,bx
960000,0,0,0,b11110111,1,0,bx
970000,0,0,0,b11110111,1,0,bx
980000,0,0,0,b11110111,1,0,bx
990000,1,0,0,b11110111,1,0,bx
1000000,1,0,0,b11110111,1,0,bx
1010000,1,0,0,b11110111,1,0,bx
1020000,1,0,0,b11110111,1,0,bx
1030000,1,0,0,b11110111,1,0,bx
1040000,1,0,0,b11110111,1,0,bx
1050000,1,0,0,b11110111,1,0,bx
1060000,1,0,0,b11110111,1,0,bx
1070000,0,1,0,b11110111,1,0,bx
1080000,0,1,0,b11110111,1,0,bx
1090000,0,1,0,b11110111,1,0,bx
1100000,0,1,0,b11110111,1,0,bx
1110000,0,1,0,b11110111,1,0,bx
1120000,0,1,0,b11110111,1,0,bx
1130000,0,1,0,b11110111,1,0,bx
1140000,0,1,0,b11110111,1,0,bx
1150000,1,1,0,b11110111,1,0,bx
1160000,1,1,0,b11110111,1,0,bx
1170000,1,1,0,b11110111,1,0,bx
1180000,1,1,0,b11110111,1,0,bx
1190000,1,1,0,b11110111,1,0,bx
1200000,1,1,0,b11110111,1,0,bx
1210000,1,1,0,b11110111,1,0,bx
1220000,1,1,0,b11110111,1,0,bx
1230000,0,0,0,b11110111,1,0,bx
1240000,0,0,0,b11110111,1,0,bx
1250000,0,0,0,b11110111,1,0,bx
1260000,0,0,0,b11110111,1,0,bx
1270000,0,0,0,b11110111,1,0,bx
1280000,0,0,0,b11110111,1,0,bx
1290000,0,0,0,b11110111,1,0,bx
1300000,0,0,0,b11110111,1,0,bx
1310000,1,0,0,b11110111,1,0,bx
1320000,1,0,0,b11110111,1,0,bx
1330000,1,0,0,b11110111,1,0,bx
1340000,1,0,0,b11110111,1,0,bx
1350000,1,0,0,b11110111,1,0,bx
1360000,1,0,0,b11110111,1,0,bx
1370000,1,0,0,b11110111,1,0,bx
1380000,1,0,0,b11110111,1,0,bx
1390000,0,1,0,b11110111,1,0,bx
1400000,0,1,0,b11110111,1,0,bx
1410000,0,1,0,b11110111,1,0,bx
1420000,0,1,0,b11110111,1,0,bx
1430000,0,1,0,b11110111,1,0,bx
1440000,0,1,0,b11110111,1,0,bx
1450000,0,1,0,b11110111,1,0,bx
1460000,0,1,0,b11110111,1,0,bx
1470000,1,1,0,b11110111,1,0,bx
1480000,1,1,0,b11110111,1,0,bx
1490000,1,1,0,b11110111,1,0,bx
1500000,1,1,0,b11110111,1,0,bx
1510000,1,1,0,b11110111,1,0,bx
1520000,1,1,0,b11110111,1,0,bx
1530000,1,1,0,b11110111,1,0,bx
1540000,1,1,0,b11110111,1,0,bx
1550000,0,0,0,b11110111,1,0,bx
1560000,0,0,0,b11110111,1,0,bx
1570000,0,0,0,b11110111,1,0,bx
1580000,0,0,0,b11110111,1,0,bx
1590000,0,0,0,b11110111,1,0,bx
1600000,0,0,0,b11110111,1,0,bx
1610000,0,0,0,b11110111,1,0,bx
1620000,0,0,0,b11110111,1,0,bx
1630000,1,0,0,b11110111,1,0,bx
1640000,1,0,0,b11110111,1,0,bx
1650000,1,0,0,b11110111,1,0,bx
1660000,1,0,0,b11110111,1,0,bx
1670000,1,0,0,b11110111,1,0,bx
1680000,1,0,0,b11110111,1,0,bx
1690000,1,0,0,b11110111,1,0,bx
1700000,1,0,0,b11110111,1,0,bx
1710000,0,0,0,b11110111,1,0,bx
1720000,0,0,0,b11110111,1,0,bx
1730000,0,0,0,b11110111,1,0,bx
1740000,0,0,0,b11110111,1,0,bx
1750000,0,0,0,b11110111,1,0,bx
1760000,0,0,0,b11110111,1,0,bx
1770000,0,0,0,b11110111,1,0,bx
1780000,0,0,0,b11110111,1,0,bx
1790000,1,0,0,b11110111,1,0,bx
1800000,1,0,0,b11110111,1,0,bx
1810000,1,0,0,b11110111,1,0,bx
1820000,1,0,0,b11110111,1,0,bx
1830000,1,0,0,b11110111,1,0,bx
1840000,1,0,0,b11110111,1,0,bx
1850000,1,0,0,b11110111,1,0,bx
1860000,1,0,0,b11110111,1,0,bx
1870000,0,1,0,b11110111,1,0,bx
1880000,0,1,0,b11110111,1,0,bx
1890000,0,1,0,b11110111,1,0,bx
1900000,0,1,0,b11110111,1,0,bx
1910000,0,1,0,b11110111,1,0,bx
1920000,0,1,0,b11110111,1,0,bx
1930000,0,1,0,b11110111,1,0,bx
1940000,0,1,0,b11110111,1,0,bx
1950000,1,1,0,b11110111,1,0,bx
1960000,1,1,0,b11110111,1,0,bx
1970000,1,1,0,b11110111,1,0,bx
1980000,1,1,0,b11110111,1,0,bx
1990000,1,1,0,b11110111,1,0,bx
2000000,1,1,0,b11110111,1,0,bx
2010000,1,1,0,b11110111,1,0,bx
2020000,1,1,0,b11110111,1,0,bx
2030000,0,0,0,b11110111,1,0,bx
2040000,0,0,0,b11110111,1,0,bx
2050000,0,0,0,b11110111,1,0,bx
2060000,0,0,0,b11110111,1,0,bx
2070000,0,0,0,b11110111,1,0,bx
2080000,0,0,0,b11110111,1,0,bx
2090000,0,0,0,b11110111,1,0,bx
2100000,0,0,0,b11110111,1,0,bx
2110000,1,0,0,b11110111,1,0,bx
2120000,1,0,0,b11110111,1,0,bx
2130000,1,0,0,b11110111,1,0,bx
2140000,1,0,0,b11110111,1,0,bx
2150000,1,0,0,b11110111,1,0,bx
2160000,1,0,0,b11110111,1,0,bx
2170000,1,0,0,b11110111,1,0,bx
2180000,1,0,0,b11110111,1,0,bx
2190000,0,1,0,b11110111,1,0,bx
2200000,0,1,0,b11110111,1,0,bx
2210000,0,1,0,b11110111,1,0,bx
2220000,0,1,0,b11110111,1,0,bx
2230000,0,1,0,b11110111,1,0,bx
2240000,0,1,0,b11110111,1,0,bx
2250000,0,1,0,b11110111,1,0,bx
2260000,0,1,0,b11110111,1,0,bx
2270000,1,1,0,b11110111,1,0,bx
2280000,1,1,0,b11110111,1,0,bx
2290000,1,1,0,b11110111,1,0,bx
2300000,1,1,0,b11110111,1,0,bx
2310000,1,1,0,b11110111,1,0,bx
2320000,1,1,0,b11110111,1,0,bx
2330000,1,1,0,b11110111,1,0,bx
2340000,1,1,0,b11110111,1,0,bx
2350000,0,0,0,b11110111,1,0,bx
2360000,0,0,0,b11110111,1,0,bx
2370000,0,0,0,b11110111,1,0,bx
2380000,0,0,0,b11110111,1,0,bx
2390000,0,0,0,b11110111,1,0,bx
2400000,0,0,0,b11110111,1,0,bx
2410000,0,0,0,b11110111,1,0,bx
