Time (ns),spi_master_tb.timeout_cycles
8440000,b0
8460000,b1
8480000,b10
8500000,b11
8520000,b100
8540000,b101
8560000,b110
8580000,b111
8600000,b1000
8620000,b1001
8640000,b1010
8660000,b1011
8680000,b1100
8700000,b1101
8720000,b1110
8740000,b1111
8760000,b10000
8780000,b10001
8800000,b10010
8820000,b10011
8840000,b10100
8860000,b10101
8880000,b10110
8900000,b10111
8920000,b11000
8940000,b11001
8960000,b11010
8980000,b11011
9000000,b11100
9020000,b11101
9040000,b11110
9060000,b11111
9080000,b100000
9100000,b100001
9120000,b100010
9140000,b100011
9160000,b100100
9180000,b100101
9200000,b100110
9220000,b100111
9240000,b101000
9260000,b101001
9280000,b101010
9300000,b101011
9320000,b101100
9340000,b101101
9360000,b101110
9380000,b101111
9400000,b110000
9420000,b110001
9440000,b110010
9460000,b110011
9480000,b110100
9500000,b110101
9520000,b110110
9540000,b110111
9560000,b111000
9580000,b111001
9600000,b111010
9620000,b111011
9640000,b111100
9660000,b111101
9680000,b111110
9700000,b111111
9720000,b1000000
9740000,b1000001
9760000,b1000010
9780000,b1000011
9800000,b1000100
9820000,b1000101
9840000,b1000110
9860000,b1000111
9880000,b1001000
9900000,b1001001
9920000,b1001010
9940000,b1001011
9960000,b1001100
9980000,b1001101
10000000,b1001110
10020000,b1001111
10040000,b1010000
10060000,b1010001
10080000,b1010010
10100000,b1010011
10120000,b1010100
10140000,b1010101
10160000,b1010110
10180000,b1010111
10200000,b1011000
10220000,b1011001
10240000,b1011010
10260000,b1011011
10280000,b1011100
10300000,b1011101
10320000,b1011110
10340000,b1011111
10360000,b1100000
10380000,b1100001
10400000,b1100010
10420000,b1100011
10440000,b1100100
10460000,b1100101
10480000,b1100110
10500000,b1100111
10520000,b1101000
10540000,b1101001
10560000,b1101010
10580000,b1101011
10600000,b1101100
10620000,b1101101
10640000,b1101110
10660000,b1101111
10680000,b1110000
10700000,b1110001
10720000,b1110010
10740000,b1110011
10760000,b1110100
10780000,b1110101
10800000,b1110110
10820000,b1110111
10840000,b1111000
10860000,b1111001
10880000,b1111010
10900000,b1111011
10920000,b1111100
10940000,b1111101
10960000,b1111110
10980000,b1111111
11000000,b10000000
11020000,b10000001
11070000,b0
11090000,b1
11110000,b10
11130000,b11
11150000,b100
11170000,b101
