Time (ns),spi_master_tb.dut.sclk_gen
0,x
110000,1
370000,0
410000,1
450000,0
490000,1
530000,0
570000,1
610000,0
650000,1
690000,0
730000,1
770000,0
810000,1
850000,0
890000,1
930000,0
970000,1
1230000,0
1270000,1
1310000,0
1350000,1
1390000,0
1430000,1
1470000,0
1510000,1
1550000,0
1590000,1
1630000,0
1670000,1
1710000,0
1750000,1
1790000,0
1830000,1
1930000,0
1970000,1
2010000,0
2050000,1
2090000,0
2130000,1
2170000,0
2210000,1
2250000,0
2290000,1
2330000,0
2370000,1
2410000,0
2450000,1
2490000,0
2530000,1
2630000,0
2670000,1
2710000,0
2750000,1
2790000,0
2830000,1
2870000,0
2910000,1
2950000,0
2990000,1
3030000,0
3070000,1
3110000,0
3150000,1
3190000,0
3230000,1
