Time (ns),spi_master_tb.dut.ss_n,spi_master_tb.dut.sclk,spi_master_tb.rx_data,spi_master_tb.dut.mosi,spi_master_tb.dut.irq,spi_master_tb.dut.busy,spi_master_tb.CLOCK_DIVIDER,spi_master_tb.DATA_WIDTH,spi_master_tb.DEFAULT_DATA_ENABLED,spi_master_tb.DEFAULT_DATA_PATTERN,spi_master_tb.DEFAULT_DATA_VALUE,spi_master_tb.FIFO_DEPTH,spi_master_tb.MODE,spi_master_tb.MSB_FIRST,spi_master_tb.NUM_SLAVES,spi_master_tb.SLAVE_ACTIVE_LOW,spi_master_tb.dut.clk,spi_master_tb.dut.miso,spi_master_tb.dut.rst_n,spi_master_tb.dut.start_rx,spi_master_tb.dut.start_tx,spi_master_tb.tx_data,spi_master_tb.dut.CPHA,spi_master_tb.dut.CPOL,spi_master_tb.dut.SS_ACTIVE,spi_master_tb.dut.tx_data,spi_master_tb.dut.CLOCK_DIVIDER,spi_master_tb.dut.COMPLETE,spi_master_tb.dut.DATA_WIDTH,spi_master_tb.dut.DEFAULT_DATA_ENABLED,spi_master_tb.dut.DEFAULT_DATA_PATTERN,spi_master_tb.dut.DEFAULT_DATA_VALUE,spi_master_tb.dut.FIFO_DEPTH,spi_master_tb.dut.IDLE,spi_master_tb.dut.MODE,spi_master_tb.dut.MSB_FIRST,spi_master_tb.dut.NUM_SLAVES,spi_master_tb.dut.RECEIVE,spi_master_tb.dut.SCLK_HALF_PERIOD,spi_master_tb.dut.SETUP,spi_master_tb.dut.SLAVE_ACTIVE_LOW,spi_master_tb.dut.TRANSMIT,spi_master_tb.dut.bit_counter,spi_master_tb.dut.clk_counter,spi_master_tb.dut.default_data,spi_master_tb.dut.last_sclk,spi_master_tb.dut.next_state,spi_master_tb.dut.rx_data,spi_master_tb.dut.rx_shift_reg,spi_master_tb.dut.sclk_gen,spi_master_tb.dut.state,spi_master_tb.dut.tx_shift_reg
550000,0,1,bx,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b11,b1,b1110,1,b10,bx,b0,1,b10,b101000
560000,0,1,bx,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b11,b1,b1110,1,b10,bx,b0,1,b10,b101000
570000,0,1,bx,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b11,b0,b1110,1,b10,bx,b0,0,b10,b101000
580000,0,1,bx,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b11,b0,b1110,1,b10,bx,b0,0,b10,b101000
590000,0,0,bx,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b11,b1,b1110,0,b10,bx,b0,0,b10,b101000
600000,0,0,bx,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b11,b1,b1110,0,b10,bx,b0,0,b10,b101000
610000,0,0,bx,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b11,b0,b1110,0,b10,bx,b0,1,b10,b101000
620000,0,0,bx,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b11,b0,b1110,0,b10,bx,b0,1,b10,b101000
630000,0,1,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b100,b1,b1110,1,b10,bx,b0,1,b10,b1010000
640000,0,1,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b100,b1,b1110,1,b10,bx,b0,1,b10,b1010000
650000,0,1,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b100,b0,b1110,1,b10,bx,b0,0,b10,b1010000
660000,0,1,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b100,b0,b1110,1,b10,bx,b0,0,b10,b1010000
670000,0,0,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b100,b1,b1110,0,b10,bx,b0,0,b10,b1010000
680000,0,0,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b100,b1,b1110,0,b10,bx,b0,0,b10,b1010000
690000,0,0,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b100,b0,b1110,0,b10,bx,b0,1,b10,b1010000
700000,0,0,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b100,b0,b1110,0,b10,bx,b0,1,b10,b1010000
710000,0,1,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b101,b1,b1110,1,b10,bx,b0,1,b10,b10100000
720000,0,1,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b101,b1,b1110,1,b10,bx,b0,1,b10,b10100000
730000,0,1,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b101,b0,b1110,1,b10,bx,b0,0,b10,b10100000
740000,0,1,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b101,b0,b1110,1,b10,bx,b0,0,b10,b10100000
750000,0,0,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b101,b1,b1110,0,b10,bx,b0,0,b10,b10100000
760000,0,0,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b101,b1,b1110,0,b10,bx,b0,0,b10,b10100000
770000,0,0,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b101,b0,b1110,0,b10,bx,b0,1,b10,b10100000
780000,0,0,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b101,b0,b1110,0,b10,bx,b0,1,b10,b10100000
790000,0,1,bx,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b110,b1,b1110,1,b10,bx,b0,1,b10,b1000000
800000,0,1,bx,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b110,b1,b1110,1,b10,bx,b0,1,b10,b1000000
810000,0,1,bx,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b110,b0,b1110,1,b10,bx,b0,0,b10,b1000000
820000,0,1,bx,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b110,b0,b1110,1,b10,bx,b0,0,b10,b1000000
830000,0,0,bx,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b110,b1,b1110,0,b10,bx,b0,0,b10,b1000000
840000,0,0,bx,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b110,b1,b1110,0,b10,bx,b0,0,b10,b1000000
850000,0,0,bx,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b110,b0,b1110,0,b10,bx,b0,1,b10,b1000000
860000,0,0,bx,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b110,b0,b1110,0,b10,bx,b0,1,b10,b1000000
870000,0,1,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b111,b1,b1110,1,b10,bx,b0,1,b10,b10000000
880000,0,1,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b111,b1,b1110,1,b10,bx,b0,1,b10,b10000000
890000,0,1,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b111,b0,b1110,1,b10,bx,b0,0,b10,b10000000
900000,0,1,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b111,b0,b1110,1,b10,bx,b0,0,b10,b10000000
910000,0,0,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b111,b1,b1110,0,b10,bx,b0,0,b10,b10000000
920000,0,0,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b111,b1,b1110,0,b10,bx,b0,0,b10,b10000000
930000,0,0,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b111,b0,b1110,0,b10,bx,b0,1,b10,b10000000
940000,0,0,bx,0,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b111,b0,b1110,0,b10,bx,b0,1,b10,b10000000
950000,0,1,bx,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b1,b1110,1,b100,bx,b0,1,b10,b0
960000,0,1,bx,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b1,b1110,1,b100,bx,b0,1,b10,b0
970000,1,1,bx,1,1,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,1,b0,bx,b0,0,b100,b0
980000,1,1,bx,1,1,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,1,b0,bx,b0,0,b100,b0
990000,1,0,b0,1,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b0,b0,b0,0,b0,b0
1000000,1,0,b0,1,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b0,b0,b0,0,b0,b0
1010000,1,0,b0,1,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b0,b0,b0,0,b0,b0
1020000,1,0,b0,1,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b0,b0,b0,0,b0,b0
1030000,1,0,b0,1,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b0,b0,b0,0,b0,b0
1040000,1,0,b0,1,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b0,b0,b0,0,b0,b0
1050000,1,0,b0,1,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b0,b0,b0,0,b0,b0
1060000,1,0,b0,1,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b0,b0,b0,0,b0,b0
1070000,1,0,b0,1,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b0,b0,b0,0,b0,b0
1080000,1,0,b0,1,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b0,b0,b0,0,b0,b0
1090000,1,0,b0,1,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b0,b0,b0,0,b0,b0
1100000,1,0,b0,1,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b0,b0,b0,0,b0,b0
1110000,1,0,b0,1,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b0,b0,b0,0,b0,b0
1120000,1,0,b0,1,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b0,b0,b0,0,b0,b0
1130000,1,0,b0,1,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b0,b0,b0,0,b0,b0
1140000,1,0,b0,1,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b0,b0,b0,0,b0,b0
1150000,1,0,b0,1,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b0,b0,b0,0,b0,b0
1160000,1,0,b0,1,0,0,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b10100101,0,0,0,b10100101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b0,b0,b0,0,b0,b0
1170000,0,0,b0,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,1,b1010101,0,0,0,b1010101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b10,b0,b0,0,b1,b0
1180000,0,0,b0,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,1,b1010101,0,0,0,b1010101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b1000,b0,b1110,0,b10,b0,b0,0,b1,b0
1190000,0,0,b0,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,1,b1010101,0,0,0,b1010101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b0,b0,b1110,0,b10,b0,b0,0,b10,b1010101
1200000,0,0,b0,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,1,b1010101,0,0,0,b1010101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b0,b0,b1110,0,b10,b0,b0,0,b10,b1010101
1210000,0,0,b0,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,1,b1010101,0,0,0,b1010101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b0,b1,b1110,0,b10,b0,b0,0,b10,b1010101
1220000,0,0,b0,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,0,0,1,0,0,b1010101,0,0,0,b1010101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b0,b1,b1110,0,b10,b0,b0,0,b10,b1010101
1230000,0,0,b0,1,0,1,b10,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b1,b1,b1,1,0,1,0,0,b1010101,0,0,0,b1010101,b10,b100,b1000,b0,b10000110111010101110011011101000110111101101101,b1110,b10000,b0,b0,b1,b1,b11,b10,b1,b1,b10,b0,b0,b1110,0,b10,b0,b0,1,b10,b1010101
