Time (ns),SCLK,MOSI,MISO,SS_N,BUSY,IRQ,DATA
1630000,0,0,b0,0,0,1,b10
1640000,0,0,b0,0,0,1,b10
1650000,0,1,b0,1,0,1,b10
1660000,0,1,b0,1,0,1,b10
1670000,0,1,b0,1,0,1,b10
1680000,0,1,b0,1,0,1,b10
1690000,0,0,b0,1,0,1,b10
1700000,0,0,b0,1,0,1,b10
1710000,0,0,b0,1,0,1,b10
1720000,0,0,b0,1,0,1,b10
1730000,0,1,b0,0,0,1,b10
1740000,0,1,b0,0,0,1,b10
1750000,0,1,b0,0,0,1,b10
1760000,0,1,b0,0,0,1,b10
1770000,0,0,b0,0,0,1,b10
1780000,0,0,b0,0,0,1,b10
1790000,0,0,b0,0,0,1,b10
1800000,0,0,b0,0,0,1,b10
1810000,0,1,b0,1,0,1,b10
1820000,0,1,b0,1,0,1,b10
1830000,1,1,b0,1,1,0,b10
1840000,1,1,b0,1,1,0,b10
1850000,1,0,b0,1,0,0,b10
1860000,1,0,b0,1,0,0,b10
1870000,0,0,b0,1,0,1,b10
1880000,0,0,b0,1,0,1,b10
1890000,0,0,b0,1,0,1,b10
1900000,0,0,b0,1,0,1,b10
1910000,0,0,b0,1,0,1,b10
1920000,0,0,b0,1,0,1,b10
1930000,0,0,b0,1,0,1,b10
1940000,0,0,b0,1,0,1,b10
1950000,0,1,b0,0,0,1,b10
1960000,0,1,b0,0,0,1,b10
1970000,0,1,b0,0,0,1,b10
1980000,0,1,b0,0,0,1,b10
1990000,0,0,b0,0,0,1,b10
2000000,0,0,b0,0,0,1,b10
2010000,0,0,b0,0,0,1,b10
2020000,0,0,b0,0,0,1,b10
2030000,0,1,b0,1,0,1,b10
2040000,0,1,b0,1,0,1,b10
2050000,0,1,b0,1,0,1,b10
2060000,0,1,b0,1,0,1,b10
2070000,0,0,b0,1,0,1,b10
2080000,0,0,b0,1,0,1,b10
2090000,0,0,b0,1,0,1,b10
2100000,0,0,b0,1,0,1,b10
2110000,0,1,b0,0,0,1,b10
2120000,0,1,b0,0,0,1,b10
2130000,0,1,b0,0,0,1,b10
2140000,0,1,b0,0,0,1,b10
2150000,0,0,b0,0,0,1,b10
2160000,0,0,b0,0,0,1,b10
2170000,0,0,b0,0,0,1,b10
2180000,0,0,b0,0,0,1,b10
2190000,0,1,b0,1,0,1,b10
2200000,0,1,b0,1,0,1,b10
2210000,0,1,b0,1,0,1,b10
2220000,0,1,b0,1,0,1,b10
2230000,0,0,b0,1,0,1,b10
2240000,0,0,b0,1,0,1,b10
2250000,0,0,b0,1,0,1,b10
2260000,0,0,b0,1,0,1,b10
2270000,0,1,b0,0,0,1,b10
2280000,0,1,b0,0,0,1,b10
2290000,0,1,b0,0,0,1,b10
2300000,0,1,b0,0,0,1,b10
2310000,0,0,b0,0,0,1,b10
2320000,0,0,b0,0,0,1,b10
2330000,0,0,b0,0,0,1,b10
2340000,0,0,b0,0,0,1,b10
2350000,0,1,b0,1,0,1,b10
2360000,0,1,b0,1,0,1,b10
2370000,0,1,b0,1,0,1,b10
2380000,0,1,b0,1,0,1,b10
2390000,0,0,b0,1,0,1,b10
2400000,0,0,b0,1,0,1,b10
2410000,0,0,b0,1,0,1,b10
2420000,0,0,b0,1,0,1,b10
2430000,0,1,b0,0,0,1,b10
2440000,0,1,b0,0,0,1,b10
2450000,0,1,b0,0,0,1,b10
2460000,0,1,b0,0,0,1,b10
2470000,0,0,b0,0,0,1,b10
2480000,0,0,b0,0,0,1,b10
2490000,0,0,b0,0,0,1,b10
2500000,0,0,b0,0,0,1,b10
2510000,0,1,b0,1,0,1,b10
2520000,0,1,b0,1,0,1,b10
2530000,1,1,b0,1,1,0,b10
2540000,1,1,b0,1,1,0,b10
2550000,1,0,b0,1,0,0,b10
2560000,1,0,b0,1,0,0,b10
2570000,0,0,b0,1,0,1,b10
