Time (ns),spi_master_tb.dut.next_state
0,b0
300000,b1
310000,b10
950000,b100
970000,b0
1170000,b10
1810000,b100
1830000,b0
1850000,b1
1870000,b10
1880000,b10
2510000,b100
2530000,b0
2550000,b1
2560000,b1
2570000,b10
2590000,b10
3210000,b100
3230000,b0
