Time (ns),spi_master_tb.sclk
0,1
0,1
10200,0
10400,0
10600,0
10800,0
11000,0
11200,0
11400,0
11600,0
11800,0
14000,0
14200,0
14400,0
14600,0
14800,0
15000,0
15200,0
15400,0
15600,0
15800,0
