Time (ns),SCLK,MOSI,MISO,SS_N,BUSY,IRQ,DATA
0,b111,0,bx,0,0,0,b10
10000,b111,0,bx,0,0,0,b10
20000,b111,0,bx,0,0,0,b10
30000,b111,0,bx,0,0,0,b10
40000,b111,0,bx,0,0,0,b10
50000,b111,0,bx,0,0,0,b10
60000,b111,0,bx,0,0,0,b10
70000,b111,0,bx,0,0,0,b10
80000,b111,0,bx,0,0,0,b10
90000,b111,0,bx,0,0,0,b10
100000,b111,0,bx,0,0,0,b10
110000,b111,x,bx,0,0,0,b10
120000,b111,x,bx,0,0,0,b10
130000,b111,0,bx,0,0,0,b10
140000,b111,0,bx,0,0,0,b10
150000,b111,0,bx,0,0,0,b10
160000,b111,0,bx,0,0,0,b10
170000,b111,0,bx,0,0,0,b10
180000,b111,0,bx,0,0,0,b10
190000,b111,0,bx,0,0,0,b10
200000,b111,0,bx,0,0,0,b10
210000,b111,0,bx,0,0,0,b10
220000,b111,0,bx,0,0,0,b10
230000,b111,0,bx,0,0,0,b10
240000,b111,0,bx,0,0,0,b10
250000,b111,0,bx,0,0,0,b10
260000,b111,0,bx,0,0,0,b10
270000,b111,0,bx,0,0,0,b10
280000,b111,0,bx,0,0,0,b10
290000,b111,0,bx,0,0,0,b10
300000,b111,0,bx,0,0,0,b10
310000,b0,0,bx,0,0,1,b10
320000,b0,0,bx,0,0,1,b10
330000,b0,0,bx,0,0,1,b10
340000,b0,0,bx,0,0,1,b10
350000,b0,0,bx,0,0,1,b10
360000,b0,0,bx,0,0,1,b10
370000,b0,0,bx,0,0,1,b10
380000,b0,0,bx,0,0,1,b10
390000,b0,1,bx,1,0,1,b10
400000,b0,1,bx,1,0,1,b10
410000,b0,1,bx,1,0,1,b10
420000,b0,1,bx,1,0,1,b10
430000,b0,0,bx,1,0,1,b10
440000,b0,0,bx,1,0,1,b10
450000,b0,0,bx,1,0,1,b10
460000,b0,0,bx,1,0,1,b10
470000,b0,1,bx,0,0,1,b10
480000,b0,1,bx,0,0,1,b10
490000,b0,1,bx,0,0,1,b10
500000,b0,1,bx,0,0,1,b10
510000,b0,0,bx,0,0,1,b10
520000,b0,0,bx,0,0,1,b10
530000,b0,0,bx,0,0,1,b10
540000,b0,0,bx,0,0,1,b10
550000,b0,1,bx,1,0,1,b10
560000,b0,1,bx,1,0,1,b10
570000,b0,1,bx,1,0,1,b10
580000,b0,1,bx,1,0,1,b10
590000,b0,0,bx,1,0,1,b10
600000,b0,0,bx,1,0,1,b10
610000,b0,0,bx,1,0,1,b10
620000,b0,0,bx,1,0,1,b10
630000,b0,1,bx,0,0,1,b10
640000,b0,1,bx,0,0,1,b10
650000,b0,1,bx,0,0,1,b10
660000,b0,1,bx,0,0,1,b10
670000,b0,0,bx,0,0,1,b10
680000,b0,0,bx,0,0,1,b10
690000,b0,0,bx,0,0,1,b10
700000,b0,0,bx,0,0,1,b10
710000,b0,1,bx,0,0,1,b10
720000,b0,1,bx,0,0,1,b10
730000,b0,1,bx,0,0,1,b10
740000,b0,1,bx,0,0,1,b10
750000,b0,0,bx,0,0,1,b10
760000,b0,0,bx,0,0,1,b10
770000,b0,0,bx,0,0,1,b10
780000,b0,0,bx,0,0,1,b10
790000,b0,1,bx,1,0,1,b10
800000,b0,1,bx,1,0,1,b10
810000,b0,1,bx,1,0,1,b10
820000,b0,1,bx,1,0,1,b10
830000,b0,0,bx,1,0,1,b10
840000,b0,0,bx,1,0,1,b10
850000,b0,0,bx,1,0,1,b10
860000,b0,0,bx,1,0,1,b10
870000,b0,1,bx,0,0,1,b10
880000,b0,1,bx,0,0,1,b10
890000,b0,1,bx,0,0,1,b10
900000,b0,1,bx,0,0,1,b10
910000,b0,0,bx,0,0,1,b10
920000,b0,0,bx,0,0,1,b10
930000,b0,0,bx,0,0,1,b10
940000,b0,0,bx,0,0,1,b10
950000,b0,1,bx,1,0,1,b10
960000,b0,1,bx,1,0,1,b10
970000,b111,1,bx,1,1,0,b10
980000,b111,1,bx,1,1,0,b10
990000,b111,0,b0,1,0,0,b10
1000000,b111,0,b0,1,0,0,b10
1010000,b111,0,b0,1,0,0,b10
1020000,b111,0,b0,1,0,0,b10
1030000,b111,0,b0,1,0,0,b10
1040000,b111,0,b0,1,0,0,b10
1050000,b111,0,b0,1,0,0,b10
1060000,b111,0,b0,1,0,0,b10
1070000,b111,0,b0,1,0,0,b10
1080000,b111,0,b0,1,0,0,b10
1090000,b111,0,b0,1,0,0,b10
1100000,b111,0,b0,1,0,0,b10
1110000,b111,0,b0,1,0,0,b10
1120000,b111,0,b0,1,0,0,b10
1130000,b111,0,b0,1,0,0,b10
1140000,b111,0,b0,1,0,0,b10
1150000,b111,0,b0,1,0,0,b10
1160000,b111,0,b0,1,0,0,b10
1170000,b0,0,b0,1,0,1,b10
1180000,b0,0,b0,1,0,1,b10
1190000,b0,0,b0,1,0,1,b10
1200000,b0,0,b0,1,0,1,b10
1210000,b0,0,b0,1,0,1,b10
1220000,b0,0,b0,1,0,1,b10
1230000,b0,0,b0,1,0,1,b10
1240000,b0,0,b0,1,0,1,b10
1250000,b0,1,b0,0,0,1,b10
1260000,b0,1,b0,0,0,1,b10
1270000,b0,1,b0,0,0,1,b10
1280000,b0,1,b0,0,0,1,b10
1290000,b0,0,b0,0,0,1,b10
1300000,b0,0,b0,0,0,1,b10
1310000,b0,0,b0,0,0,1,b10
1320000,b0,0,b0,0,0,1,b10
1330000,b0,1,b0,1,0,1,b10
1340000,b0,1,b0,1,0,1,b10
1350000,b0,1,b0,1,0,1,b10
1360000,b0,1,b0,1,0,1,b10
1370000,b0,0,b0,1,0,1,b10
1380000,b0,0,b0,1,0,1,b10
1390000,b0,0,b0,1,0,1,b10
1400000,b0,0,b0,1,0,1,b10
1410000,b0,1,b0,0,0,1,b10
1420000,b0,1,b0,0,0,1,b10
1430000,b0,1,b0,0,0,1,b10
1440000,b0,1,b0,0,0,1,b10
1450000,b0,0,b0,0,0,1,b10
1460000,b0,0,b0,0,0,1,b10
1470000,b0,0,b0,0,0,1,b10
1480000,b0,0,b0,0,0,1,b10
1490000,b0,1,b0,1,0,1,b10
1500000,b0,1,b0,1,0,1,b10
1510000,b0,1,b0,1,0,1,b10
1520000,b0,1,b0,1,0,1,b10
1530000,b0,0,b0,1,0,1,b10
1540000,b0,0,b0,1,0,1,b10
1550000,b0,0,b0,1,0,1,b10
1560000,b0,0,b0,1,0,1,b10
1570000,b0,1,b0,0,0,1,b10
1580000,b0,1,b0,0,0,1,b10
1590000,b0,1,b0,0,0,1,b10
1600000,b0,1,b0,0,0,1,b10
1610000,b0,0,b0,0,0,1,b10
1620000,b0,0,b0,0,0,1,b10
1630000,b0,0,b0,0,0,1,b10
1640000,b0,0,b0,0,0,1,b10
1650000,b0,1,b0,1,0,1,b10
1660000,b0,1,b0,1,0,1,b10
1670000,b0,1,b0,1,0,1,b10
1680000,b0,1,b0,1,0,1,b10
1690000,b0,0,b0,1,0,1,b10
1700000,b0,0,b0,1,0,1,b10
1710000,b0,0,b0,1,0,1,b10
1720000,b0,0,b0,1,0,1,b10
1730000,b0,1,b0,0,0,1,b10
1740000,b0,1,b0,0,0,1,b10
1750000,b0,1,b0,0,0,1,b10
1760000,b0,1,b0,0,0,1,b10
1770000,b0,0,b0,0,0,1,b10
1780000,b0,0,b0,0,0,1,b10
1790000,b0,0,b0,0,0,1,b10
1800000,b0,0,b0,0,0,1,b10
1810000,b0,1,b0,1,0,1,b10
1820000,b0,1,b0,1,0,1,b10
1830000,b111,1,b0,1,1,0,b10
1840000,b111,1,b0,1,1,0,b10
1850000,b111,0,b0,1,0,0,b10
1860000,b111,0,b0,1,0,0,b10
1870000,b0,0,b0,1,0,1,b10
1880000,b0,0,b0,1,0,1,b10
1890000,b0,0,b0,1,0,1,b10
1900000,b0,0,b0,1,0,1,b10
1910000,b0,0,b0,1,0,1,b10
1920000,b0,0,b0,1,0,1,b10
1930000,b0,0,b0,1,0,1,b10
1940000,b0,0,b0,1,0,1,b10
1950000,b0,1,b0,0,0,1,b10
1960000,b0,1,b0,0,0,1,b10
1970000,b0,1,b0,0,0,1,b10
1980000,b0,1,b0,0,0,1,b10
1990000,b0,0,b0,0,0,1,b10
2000000,b0,0,b0,0,0,1,b10
2010000,b0,0,b0,0,0,1,b10
2020000,b0,0,b0,0,0,1,b10
2030000,b0,1,b0,1,0,1,b10
2040000,b0,1,b0,1,0,1,b10
2050000,b0,1,b0,1,0,1,b10
2060000,b0,1,b0,1,0,1,b10
2070000,b0,0,b0,1,0,1,b10
2080000,b0,0,b0,1,0,1,b10
2090000,b0,0,b0,1,0,1,b10
2100000,b0,0,b0,1,0,1,b10
2110000,b0,1,b0,0,0,1,b10
2120000,b0,1,b0,0,0,1,b10
2130000,b0,1,b0,0,0,1,b10
2140000,b0,1,b0,0,0,1,b10
2150000,b0,0,b0,0,0,1,b10
2160000,b0,0,b0,0,0,1,b10
2170000,b0,0,b0,0,0,1,b10
2180000,b0,0,b0,0,0,1,b10
2190000,b0,1,b0,1,0,1,b10
2200000,b0,1,b0,1,0,1,b10
2210000,b0,1,b0,1,0,1,b10
2220000,b0,1,b0,1,0,1,b10
2230000,b0,0,b0,1,0,1,b10
2240000,b0,0,b0,1,0,1,b10
2250000,b0,0,b0,1,0,1,b10
2260000,b0,0,b0,1,0,1,b10
2270000,b0,1,b0,0,0,1,b10
2280000,b0,1,b0,0,0,1,b10
2290000,b0,1,b0,0,0,1,b10
2300000,b0,1,b0,0,0,1,b10
2310000,b0,0,b0,0,0,1,b10
2320000,b0,0,b0,0,0,1,b10
2330000,b0,0,b0,0,0,1,b10
2340000,b0,0,b0,0,0,1,b10
2350000,b0,1,b0,1,0,1,b10
2360000,b0,1,b0,1,0,1,b10
2370000,b0,1,b0,1,0,1,b10
2380000,b0,1,b0,1,0,1,b10
2390000,b0,0,b0,1,0,1,b10
2400000,b0,0,b0,1,0,1,b10
2410000,b0,0,b0,1,0,1,b10
2420000,b0,0,b0,1,0,1,b10
2430000,b0,1,b0,0,0,1,b10
2440000,b0,1,b0,0,0,1,b10
2450000,b0,1,b0,0,0,1,b10
2460000,b0,1,b0,0,0,1,b10
2470000,b0,0,b0,0,0,1,b10
2480000,b0,0,b0,0,0,1,b10
2490000,b0,0,b0,0,0,1,b10
2500000,b0,0,b0,0,0,1,b10
2510000,b0,1,b0,1,0,1,b10
2520000,b0,1,b0,1,0,1,b10
2530000,b111,1,b0,1,1,0,b10
2540000,b111,1,b0,1,1,0,b10
2550000,b111,0,b0,1,0,0,b10
2560000,b111,0,b0,1,0,0,b10
2570000,b0,0,b0,1,0,1,b10
2580000,b0,0,b0,1,0,1,b10
2590000,b0,0,b0,1,0,1,b10
2600000,b0,0,b0,1,0,1,b10
2610000,b0,0,b0,1,0,1,b10
2620000,b0,0,b0,1,0,1,b10
2630000,b0,0,b0,1,0,1,b10
2640000,b0,0,b0,1,0,1,b10
2650000,b0,1,b0,1,0,1,b10
2660000,b0,1,b0,1,0,1,b10
2670000,b0,1,b0,1,0,1,b10
2680000,b0,1,b0,1,0,1,b10
2690000,b0,0,b0,1,0,1,b10
2700000,b0,0,b0,1,0,1,b10
2710000,b0,0,b0,1,0,1,b10
2720000,b0,0,b0,1,0,1,b10
2730000,b0,1,b0,0,0,1,b10
2740000,b0,1,b0,0,0,1,b10
2750000,b0,1,b0,0,0,1,b10
2760000,b0,1,b0,0,0,1,b10
2770000,b0,0,b0,0,0,1,b10
2780000,b0,0,b0,0,0,1,b10
2790000,b0,0,b0,0,0,1,b10
2800000,b0,0,b0,0,0,1,b10
2810000,b0,1,b0,1,0,1,b10
2820000,b0,1,b0,1,0,1,b10
2830000,b0,1,b0,1,0,1,b10
2840000,b0,1,b0,1,0,1,b10
2850000,b0,0,b0,1,0,1,b10
2860000,b0,0,b0,1,0,1,b10
2870000,b0,0,b0,1,0,1,b10
2880000,b0,0,b0,1,0,1,b10
2890000,b0,1,b0,0,0,1,b10
2900000,b0,1,b0,0,0,1,b10
2910000,b0,1,b0,0,0,1,b10
2920000,b0,1,b0,0,0,1,b10
2930000,b0,0,b0,0,0,1,b10
2940000,b0,0,b0,0,0,1,b10
2950000,b0,0,b0,0,0,1,b10
2960000,b0,0,b0,0,0,1,b10
2970000,b0,1,b0,1,0,1,b10
2980000,b0,1,b0,1,0,1,b10
2990000,b0,1,b0,1,0,1,b10
3000000,b0,1,b0,1,0,1,b10
3010000,b0,0,b0,1,0,1,b10
3020000,b0,0,b0,1,0,1,b10
3030000,b0,0,b0,1,0,1,b10
3040000,b0,0,b0,1,0,1,b10
3050000,b0,1,b0,0,0,1,b10
3060000,b0,1,b0,0,0,1,b10
3070000,b0,1,b0,0,0,1,b10
3080000,b0,1,b0,0,0,1,b10
3090000,b0,0,b0,0,0,1,b10
3100000,b0,0,b0,0,0,1,b10
3110000,b0,0,b0,0,0,1,b10
3120000,b0,0,b0,0,0,1,b10
3130000,b0,1,b0,1,0,1,b10
3140000,b0,1,b0,1,0,1,b10
3150000,b0,1,b0,1,0,1,b10
3160000,b0,1,b0,1,0,1,b10
3170000,b0,0,b0,1,0,1,b10
3180000,b0,0,b0,1,0,1,b10
3190000,b0,0,b0,1,0,1,b10
3200000,b0,0,b0,1,0,1,b10
3210000,b0,1,b0,1,0,1,b10
3220000,b0,1,b0,1,0,1,b10
3230000,b111,1,b0,1,1,0,b10
