Signal Name,Width (bits),Total Changes,Current Value
spi_dual_tb.dut.irq,1,1,0
spi_dual_tb.dut.tx_ready,1,4,1
spi_dual_tb.ss_n,4,3,b1111
spi_dual_tb.dut.sclk,1,63,0
spi_dual_tb.dut.rx_valid,1,5,0
spi_dual_tb.rx_data,30,31,b11010010110100101101001011010
spi_dual_tb.dut.mosi,1,25,0
spi_dual_tb.dut.miso_out,1,2,1
spi_dual_tb.dut.busy,1,5,0
spi_dual_tb.dut.clk,1,620,1
spi_dual_tb.expected_slave_rx,30,2,b11010010110100101101001011010
spi_dual_tb.dut.master_mode,1,2,0
spi_dual_tb.dut.miso,1,1,0
spi_dual_tb.dut.mosi_in,1,23,0
spi_dual_tb.dut.rst_n,1,2,1
spi_dual_tb.dut.sclk_in,1,61,0
spi_dual_tb.slave_rx_valid_seen,1,2,1
spi_dual_tb.dut.ss_in,1,3,1
spi_dual_tb.timeout_cycles,8,2,b0
spi_dual_tb.tx_data,30,2,b100101101001011010010110100101
spi_dual_tb.dut.tx_valid,1,3,0
spi_dual_tb.i,32,32,b11110
spi_dual_tb.dut.irq_clear,1,1,0
spi_dual_tb.dut.tx_data,30,2,b100101101001011010010110100101
spi_dual_tb.dut.ss_n,4,3,b1111
spi_dual_tb.dut.rx_data,30,31,b11010010110100101101001011010
spi_dual_tb.dut.default_data,30,1,b100101101001011010010110100101
spi_dual_tb.dut.master_bit_counter,8,31,b11110
spi_dual_tb.dut.master_busy,1,3,0
spi_dual_tb.dut.master_rx_data_buffer,30,2,b0
spi_dual_tb.dut.master_rx_shift_reg,30,1,b0
spi_dual_tb.dut.master_rx_valid_buffer,1,2,1
spi_dual_tb.dut.master_sclk_counter,8,94,b0
spi_dual_tb.dut.master_sclk_en,1,3,0
spi_dual_tb.dut.master_ss_n_reg,4,3,b1111
spi_dual_tb.dut.master_start_rx,1,1,0
spi_dual_tb.dut.master_start_tx,1,3,0
spi_dual_tb.dut.master_tx_ready_buffer,1,3,1
spi_dual_tb.dut.master_tx_shift_reg,30,32,b0
spi_dual_tb.dut.slave_bit_counter,8,31,b11110
spi_dual_tb.dut.slave_busy_buffer,1,3,0
spi_dual_tb.dut.slave_rx_data_buffer,30,30,b11010010110100101101001011010
spi_dual_tb.dut.slave_rx_valid_buffer,1,3,0
spi_dual_tb.dut.slave_sclk_last_state,1,61,0
spi_dual_tb.dut.slave_ss_last_state,1,3,1
spi_dual_tb.dut.slave_timeout_counter,8,157,b0
spi_dual_tb.dut.slave_transaction_active,1,3,0
spi_dual_tb.dut.slave_tx_ready_buffer,1,3,1
spi_dual_tb.dut.slave_tx_shift_reg,30,2,b100101101001011010010110100101
spi_dual_tb.wait_master.timeout,32,90,b1011000
