Time (ns),SCLK,MOSI,MISO,SS_N,BUSY,IRQ,DATA
0,0,0,0,b1111,0,0,bx
10000,0,0,0,b1111,0,0,bx
20000,0,0,0,b1111,0,0,bx
30000,0,0,0,b1111,0,0,bx
40000,0,0,0,b1111,0,0,bx
50000,0,0,0,b1111,0,0,bx
60000,0,0,0,b1111,0,0,bx
70000,0,0,0,b1111,0,0,bx
80000,0,0,0,b1111,0,0,bx
90000,0,0,0,b1111,0,0,bx
100000,0,0,0,b1111,0,0,bx
110000,0,0,0,b1111,0,0,bx
120000,0,0,0,b1111,0,0,bx
130000,0,0,0,b1111,0,0,bx
140000,0,0,0,b1111,0,0,bx
150000,0,0,0,b1111,0,0,bx
160000,0,0,0,b1111,0,0,bx
170000,0,0,0,b1111,0,0,bx
180000,0,0,0,b1111,0,0,bx
190000,0,0,0,b1111,0,0,bx
200000,0,0,0,b1111,0,0,bx
210000,0,0,0,b1111,0,0,bx
220000,0,0,0,b1111,0,0,bx
230000,0,0,0,b1111,0,0,bx
240000,0,0,0,b1111,0,0,bx
250000,0,0,0,b1111,0,0,bx
260000,0,0,0,b1111,0,0,bx
270000,0,0,0,b1111,0,0,bx
280000,0,0,0,b1111,0,0,bx
290000,0,0,0,b1111,0,0,bx
300000,0,0,0,b1111,0,0,bx
310000,0,1,0,b1101,1,0,bx
320000,0,1,0,b1101,1,0,bx
330000,1,1,0,b1101,1,0,bx
340000,1,1,0,b1101,1,0,bx
350000,0,1,0,b1101,1,0,bx
360000,0,1,0,b1101,1,0,bx
370000,0,0,0,b1101,1,0,bx
380000,0,0,0,b1101,1,0,bx
390000,1,0,0,b1101,1,0,bx
400000,1,0,0,b1101,1,0,bx
410000,0,0,0,b1101,1,0,bx
420000,0,0,0,b1101,1,0,bx
430000,0,0,0,b1101,1,0,bx
440000,0,0,0,b1101,1,0,bx
450000,1,0,0,b1101,1,0,bx
460000,1,0,0,b1101,1,0,bx
470000,0,0,0,b1101,1,0,bx
480000,0,0,0,b1101,1,0,bx
490000,0,1,0,b1101,1,0,bx
500000,0,1,0,b1101,1,0,bx
510000,1,1,0,b1101,1,0,bx
520000,1,1,0,b1101,1,0,bx
530000,0,1,0,b1101,1,0,bx
540000,0,1,0,b1101,1,0,bx
550000,0,0,0,b1101,1,0,bx
560000,0,0,0,b1101,1,0,bx
570000,1,0,0,b1101,1,0,bx
580000,1,0,0,b1101,1,0,bx
590000,0,0,0,b1101,1,0,bx
600000,0,0,0,b1101,1,0,bx
610000,0,1,0,b1101,1,0,bx
620000,0,1,0,b1101,1,0,bx
630000,1,1,0,b1101,1,0,bx
640000,1,1,0,b1101,1,0,bx
650000,0,1,0,b1101,1,0,bx
660000,0,1,0,b1101,1,0,bx
670000,0,1,0,b1101,1,0,bx
680000,0,1,0,b1101,1,0,bx
690000,1,1,0,b1101,1,0,bx
700000,1,1,0,b1101,1,0,bx
710000,0,1,0,b1101,1,0,bx
720000,0,1,0,b1101,1,0,bx
730000,0,0,0,b1101,1,0,bx
740000,0,0,0,b1101,1,0,bx
750000,1,0,0,b1101,1,0,bx
760000,1,0,0,b1101,1,0,bx
770000,0,0,0,b1101,1,0,bx
780000,0,0,0,b1101,1,0,bx
790000,0,1,0,b1101,1,0,bx
800000,0,1,0,b1101,1,0,bx
810000,1,1,0,b1101,1,0,bx
820000,1,1,0,b1101,1,0,bx
830000,0,1,0,b1101,1,0,bx
840000,0,1,0,b1101,1,0,bx
850000,0,0,0,b1101,1,0,bx
860000,0,0,0,b1101,1,0,bx
870000,1,0,0,b1101,1,0,bx
880000,1,0,0,b1101,1,0,bx
890000,0,0,0,b1101,1,0,bx
900000,0,0,0,b1101,1,0,bx
910000,0,0,0,b1101,1,0,bx
920000,0,0,0,b1101,1,0,bx
930000,1,0,0,b1101,1,0,bx
940000,1,0,0,b1101,1,0,bx
950000,0,0,0,b1101,1,0,bx
960000,0,0,0,b1101,1,0,bx
970000,0,1,0,b1101,1,0,bx
980000,0,1,0,b1101,1,0,bx
990000,1,1,0,b1101,1,0,bx
1000000,1,1,0,b1101,1,0,bx
1010000,0,1,0,b1101,1,0,bx
1020000,0,1,0,b1101,1,0,bx
1030000,0,0,0,b1101,1,0,bx
1040000,0,0,0,b1101,1,0,bx
1050000,1,0,0,b1101,1,0,bx
1060000,1,0,0,b1101,1,0,bx
1070000,0,0,0,b1101,1,0,bx
1080000,0,0,0,b1101,1,0,bx
1090000,0,1,0,b1101,1,0,bx
1100000,0,1,0,b1101,1,0,bx
1110000,1,1,0,b1101,1,0,bx
1120000,1,1,0,b1101,1,0,bx
1130000,0,1,0,b1101,1,0,bx
1140000,0,1,0,b1101,1,0,bx
1150000,0,1,0,b1101,1,0,bx
1160000,0,1,0,b1101,1,0,bx
1170000,1,1,0,b1101,1,0,bx
1180000,1,1,0,b1101,1,0,bx
1190000,0,1,0,b1101,1,0,bx
1200000,0,1,0,b1101,1,0,bx
1210000,0,0,0,b1101,1,0,bx
1220000,0,0,0,b1101,1,0,bx
1230000,1,0,0,b1101,1,0,bx
1240000,1,0,0,b1101,1,0,bx
1250000,0,0,0,b1101,1,0,bx
1260000,0,0,0,b1101,1,0,bx
1270000,0,1,0,b1101,1,0,bx
1280000,0,1,0,b1101,1,0,bx
1290000,1,1,0,b1101,1,0,bx
1300000,1,1,0,b1101,1,0,bx
1310000,0,1,0,b1101,1,0,bx
1320000,0,1,0,b1101,1,0,bx
1330000,0,0,0,b1101,1,0,bx
1340000,0,0,0,b1101,1,0,bx
1350000,1,0,0,b1101,1,0,bx
1360000,1,0,0,b1101,1,0,bx
1370000,0,0,0,b1101,1,0,bx
1380000,0,0,0,b1101,1,0,bx
1390000,0,0,0,b1101,1,0,bx
1400000,0,0,0,b1101,1,0,bx
1410000,1,0,0,b1101,1,0,bx
1420000,1,0,0,b1101,1,0,bx
1430000,0,0,0,b1101,1,0,bx
1440000,0,0,0,b1101,1,0,bx
1450000,0,1,0,b1101,1,0,bx
1460000,0,1,0,b1101,1,0,bx
1470000,1,1,0,b1101,1,0,bx
1480000,1,1,0,b1101,1,0,bx
1490000,0,1,0,b1101,1,0,bx
1500000,0,1,0,b1101,1,0,bx
1510000,0,0,0,b1101,1,0,bx
1520000,0,0,0,b1101,1,0,bx
1530000,1,0,0,b1101,1,0,bx
1540000,1,0,0,b1101,1,0,bx
1550000,0,0,0,b1101,1,0,bx
1560000,0,0,0,b1101,1,0,bx
1570000,0,1,0,b1101,1,0,bx
1580000,0,1,0,b1101,1,0,bx
1590000,1,1,0,b1101,1,0,bx
1600000,1,1,0,b1101,1,0,bx
1610000,0,1,0,b1101,1,0,bx
1620000,0,1,0,b1101,1,0,bx
1630000,0,1,0,b1101,1,0,bx
1640000,0,1,0,b1101,1,0,bx
1650000,1,1,0,b1101,1,0,bx
1660000,1,1,0,b1101,1,0,bx
1670000,0,1,0,b1101,1,0,bx
1680000,0,1,0,b1101,1,0,bx
1690000,0,0,0,b1101,1,0,bx
1700000,0,0,0,b1101,1,0,bx
