Time (ns),spi_dual_tb.dut.sclk
0,0
330000,1
350000,0
390000,1
410000,0
450000,1
470000,0
510000,1
530000,0
570000,1
590000,0
630000,1
650000,0
690000,1
710000,0
750000,1
770000,0
810000,1
830000,0
870000,1
890000,0
930000,1
950000,0
990000,1
1010000,0
1050000,1
1070000,0
1110000,1
1130000,0
1170000,1
1190000,0
1230000,1
1250000,0
1290000,1
1310000,0
1350000,1
1370000,0
1410000,1
1430000,0
1470000,1
1490000,0
1530000,1
1550000,0
1590000,1
1610000,0
1650000,1
1670000,0
1710000,1
1730000,0
1770000,1
1790000,0
1830000,1
1850000,0
1890000,1
1910000,0
1950000,1
1970000,0
2010000,1
2030000,0
2070000,1
2090000,0
2130000,1
2150000,0
