Time (ns),IRQ,spi_dual_tb.dut.tx_ready,SS_N,SCLK,spi_dual_tb.dut.rx_valid,DATA,MOSI,MISO,BUSY,spi_dual_tb.dut.clk,spi_dual_tb.expected_slave_rx,spi_dual_tb.dut.master_mode,MISO,MOSI,spi_dual_tb.dut.rst_n,SCLK,spi_dual_tb.slave_rx_valid_seen,SS_N,spi_dual_tb.timeout_cycles,spi_dual_tb.tx_data,spi_dual_tb.dut.tx_valid,spi_dual_tb.i,spi_dual_tb.dut.irq_clear,spi_dual_tb.dut.tx_data,SS_N,DATA,spi_dual_tb.dut.default_data,spi_dual_tb.dut.master_bit_counter,spi_dual_tb.dut.master_busy,spi_dual_tb.dut.master_rx_data_buffer,spi_dual_tb.dut.master_rx_shift_reg,spi_dual_tb.dut.master_rx_valid_buffer,spi_dual_tb.dut.master_sclk_counter,spi_dual_tb.dut.master_sclk_en,spi_dual_tb.dut.master_ss_n_reg,spi_dual_tb.dut.master_start_rx,spi_dual_tb.dut.master_start_tx,spi_dual_tb.dut.master_tx_ready_buffer,spi_dual_tb.dut.master_tx_shift_reg,spi_dual_tb.dut.slave_bit_counter,spi_dual_tb.dut.slave_busy_buffer,spi_dual_tb.dut.slave_rx_data_buffer,spi_dual_tb.dut.slave_rx_valid_buffer,spi_dual_tb.dut.slave_sclk_last_state,spi_dual_tb.dut.slave_ss_last_state,spi_dual_tb.dut.slave_timeout_counter,spi_dual_tb.dut.slave_transaction_active,spi_dual_tb.dut.slave_tx_ready_buffer,spi_dual_tb.dut.slave_tx_shift_reg,spi_dual_tb.wait_master.timeout
160000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
170000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
180000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
190000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
200000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
210000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
220000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
230000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
240000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
250000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
260000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
270000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
280000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
290000,0,1,b1111,0,0,bx,0,0,0,1,bx,1,0,0,1,0,0,1,bx,b0,0,bx,0,b0,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
300000,0,1,b1111,0,0,bx,0,0,0,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1111,bx,b100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
310000,0,0,b1101,0,0,bx,1,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,1,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b0,1,bx,b0,0,b0,1,b1101,0,1,0,b100101101001011010010110100101,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
320000,0,0,b1101,0,0,bx,1,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,1,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b0,1,bx,b0,0,b0,1,b1101,0,1,0,b100101101001011010010110100101,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
330000,0,0,b1101,1,0,bx,1,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b0,1,bx,b0,0,b1,1,b1101,0,0,0,b100101101001011010010110100101,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
340000,0,0,b1101,1,0,bx,1,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b0,1,bx,b0,0,b1,1,b1101,0,0,0,b100101101001011010010110100101,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
350000,0,0,b1101,0,0,bx,1,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b0,1,bx,b0,0,b10,1,b1101,0,0,0,b100101101001011010010110100101,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
360000,0,0,b1101,0,0,bx,1,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b0,1,bx,b0,0,b10,1,b1101,0,0,0,b100101101001011010010110100101,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
370000,0,0,b1101,0,0,bx,0,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b1,1,bx,b0,0,b0,1,b1101,0,0,0,b1011010010110100101101001010,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
380000,0,0,b1101,0,0,bx,0,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b1,1,bx,b0,0,b0,1,b1101,0,0,0,b1011010010110100101101001010,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
390000,0,0,b1101,1,0,bx,0,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b1,1,bx,b0,0,b1,1,b1101,0,0,0,b1011010010110100101101001010,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
400000,0,0,b1101,1,0,bx,0,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b1,1,bx,b0,0,b1,1,b1101,0,0,0,b1011010010110100101101001010,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
410000,0,0,b1101,0,0,bx,0,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b1,1,bx,b0,0,b10,1,b1101,0,0,0,b1011010010110100101101001010,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
420000,0,0,b1101,0,0,bx,0,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b1,1,bx,b0,0,b10,1,b1101,0,0,0,b1011010010110100101101001010,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,bx
430000,0,0,b1101,0,0,bx,0,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b10,1,bx,b0,0,b0,1,b1101,0,0,0,b10110100101101001011010010100,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b0
440000,0,0,b1101,0,0,bx,0,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b10,1,bx,b0,0,b0,1,b1101,0,0,0,b10110100101101001011010010100,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b0
450000,0,0,b1101,1,0,bx,0,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b10,1,bx,b0,0,b1,1,b1101,0,0,0,b10110100101101001011010010100,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b1
460000,0,0,b1101,1,0,bx,0,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b10,1,bx,b0,0,b1,1,b1101,0,0,0,b10110100101101001011010010100,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b1
470000,0,0,b1101,0,0,bx,0,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b10,1,bx,b0,0,b10,1,b1101,0,0,0,b10110100101101001011010010100,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b10
480000,0,0,b1101,0,0,bx,0,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b10,1,bx,b0,0,b10,1,b1101,0,0,0,b10110100101101001011010010100,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b10
490000,0,0,b1101,0,0,bx,1,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b11,1,bx,b0,0,b0,1,b1101,0,0,0,b101101001011010010110100101000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b11
500000,0,0,b1101,0,0,bx,1,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b11,1,bx,b0,0,b0,1,b1101,0,0,0,b101101001011010010110100101000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b11
510000,0,0,b1101,1,0,bx,1,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b11,1,bx,b0,0,b1,1,b1101,0,0,0,b101101001011010010110100101000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b100
520000,0,0,b1101,1,0,bx,1,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b11,1,bx,b0,0,b1,1,b1101,0,0,0,b101101001011010010110100101000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b100
530000,0,0,b1101,0,0,bx,1,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b11,1,bx,b0,0,b10,1,b1101,0,0,0,b101101001011010010110100101000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b101
540000,0,0,b1101,0,0,bx,1,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b11,1,bx,b0,0,b10,1,b1101,0,0,0,b101101001011010010110100101000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b101
550000,0,0,b1101,0,0,bx,0,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b100,1,bx,b0,0,b0,1,b1101,0,0,0,b11010010110100101101001010000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b110
560000,0,0,b1101,0,0,bx,0,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b100,1,bx,b0,0,b0,1,b1101,0,0,0,b11010010110100101101001010000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b110
570000,0,0,b1101,1,0,bx,0,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b100,1,bx,b0,0,b1,1,b1101,0,0,0,b11010010110100101101001010000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b111
580000,0,0,b1101,1,0,bx,0,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b100,1,bx,b0,0,b1,1,b1101,0,0,0,b11010010110100101101001010000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b111
590000,0,0,b1101,0,0,bx,0,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b100,1,bx,b0,0,b10,1,b1101,0,0,0,b11010010110100101101001010000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b1000
600000,0,0,b1101,0,0,bx,0,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b100,1,bx,b0,0,b10,1,b1101,0,0,0,b11010010110100101101001010000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b1000
610000,0,0,b1101,0,0,bx,1,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b101,1,bx,b0,0,b0,1,b1101,0,0,0,b110100101101001011010010100000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b1001
620000,0,0,b1101,0,0,bx,1,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b101,1,bx,b0,0,b0,1,b1101,0,0,0,b110100101101001011010010100000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b1001
630000,0,0,b1101,1,0,bx,1,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b101,1,bx,b0,0,b1,1,b1101,0,0,0,b110100101101001011010010100000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b1010
640000,0,0,b1101,1,0,bx,1,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b101,1,bx,b0,0,b1,1,b1101,0,0,0,b110100101101001011010010100000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b1010
650000,0,0,b1101,0,0,bx,1,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b101,1,bx,b0,0,b10,1,b1101,0,0,0,b110100101101001011010010100000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b1011
660000,0,0,b1101,0,0,bx,1,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b101,1,bx,b0,0,b10,1,b1101,0,0,0,b110100101101001011010010100000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b1011
670000,0,0,b1101,0,0,bx,1,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b110,1,bx,b0,0,b0,1,b1101,0,0,0,b101001011010010110100101000000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b1100
680000,0,0,b1101,0,0,bx,1,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b110,1,bx,b0,0,b0,1,b1101,0,0,0,b101001011010010110100101000000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b1100
690000,0,0,b1101,1,0,bx,1,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b110,1,bx,b0,0,b1,1,b1101,0,0,0,b101001011010010110100101000000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b1101
700000,0,0,b1101,1,0,bx,1,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b110,1,bx,b0,0,b1,1,b1101,0,0,0,b101001011010010110100101000000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b1101
710000,0,0,b1101,0,0,bx,1,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b110,1,bx,b0,0,b10,1,b1101,0,0,0,b101001011010010110100101000000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b1110
720000,0,0,b1101,0,0,bx,1,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b110,1,bx,b0,0,b10,1,b1101,0,0,0,b101001011010010110100101000000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b1110
730000,0,0,b1101,0,0,bx,0,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b111,1,bx,b0,0,b0,1,b1101,0,0,0,b10010110100101101001010000000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b1111
740000,0,0,b1101,0,0,bx,0,0,1,0,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b111,1,bx,b0,0,b0,1,b1101,0,0,0,b10010110100101101001010000000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b1111
750000,0,0,b1101,1,0,bx,0,0,1,1,bx,1,0,0,1,0,0,1,bx,b100101101001011010010110100101,0,bx,0,b100101101001011010010110100101,b1101,bx,b100101101001011010010110100101,b111,1,bx,b0,0,b1,1,b1101,0,0,0,b10010110100101101001010000000,b0,0,b0,0,0,1,b0,0,0,b100101101001011010010110100101,b10000
