Time (ns),spi_master_tb.dut.rx_shift_reg
0,b0
2150000,b1
2230000,b11
2310000,b111
2390000,b1111
2470000,b11111
2590000,b0
2690000,b1
2770000,b11
2850000,b111
2930000,b1111
3010000,b11111
3090000,b111111
3170000,b1111111
