Time (ns),spi_master_tb.dut.next_state
0,b0
300000,b1
310000,b10
590000,b100
610000,b0
810000,b10
1090000,b100
1110000,b0
1130000,b1
1150000,b10
1160000,b10
1430000,b100
1450000,b0
1470000,b1
1480000,b1
1490000,b10
1510000,b10
1770000,b100
1790000,b0
