Time (ns),SS_N,SCLK,DATA,MOSI,IRQ,BUSY,spi_master_tb.dut.clk,MISO,spi_master_tb.dut.rst_n,spi_master_tb.dut.start_rx,spi_master_tb.dut.start_tx,spi_master_tb.tx_data,spi_master_tb.ss_idx,spi_master_tb.timeout_cycles,spi_master_tb.dut.CPHA,spi_master_tb.dut.CPOL,spi_master_tb.dut.SS_ACTIVE,spi_master_tb.dut.tx_data,spi_master_tb.dut.bit_counter,spi_master_tb.dut.clk_counter,spi_master_tb.dut.default_data,spi_master_tb.dut.last_sclk,spi_master_tb.dut.next_state,DATA,spi_master_tb.dut.rx_shift_reg,spi_master_tb.dut.sclk_gen,SS_N,spi_master_tb.dut.state,spi_master_tb.dut.tx_shift_reg,spi_master_tb.assert_all_ss_inactive.tag,spi_master_tb.assert_selected_ss_active.tag,spi_master_tb.wait_for_busy_assert.tag,spi_master_tb.wait_for_busy_assert.max_cycles,spi_master_tb.wait_for_not_busy.tag,spi_master_tb.wait_for_not_busy.max_cycles
360000,b11110111,1,bx,0,0,1,0,0,1,0,0,b1010101001010101,b1000,b0,1,1,0,b1010101001010101,b0,b1,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b1010101001010101,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
370000,b11110111,1,bx,0,0,1,1,0,1,0,0,b1010101001010101,b1000,b1,1,1,0,b1010101001010101,b0,b10,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b1010101001010101,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
380000,b11110111,1,bx,0,0,1,0,0,1,0,0,b1010101001010101,b1000,b1,1,1,0,b1010101001010101,b0,b10,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b1010101001010101,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
390000,b11110111,1,bx,0,0,1,1,0,1,0,0,b1010101001010101,b1000,b10,1,1,0,b1010101001010101,b0,b11,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b1010101001010101,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
400000,b11110111,1,bx,0,0,1,0,0,1,0,0,b1010101001010101,b1000,b10,1,1,0,b1010101001010101,b0,b11,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b1010101001010101,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
410000,b11110111,1,bx,0,0,1,1,0,1,0,0,b1010101001010101,b1000,b11,1,1,0,b1010101001010101,b0,b0,b1010010110100101,1,b10,bx,b0,0,b11110111,b10,b1010101001010101,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
420000,b11110111,1,bx,0,0,1,0,0,1,0,0,b1010101001010101,b1000,b11,1,1,0,b1010101001010101,b0,b0,b1010010110100101,1,b10,bx,b0,0,b11110111,b10,b1010101001010101,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
430000,b11110111,0,bx,1,0,1,1,0,1,0,0,b1010101001010101,b1000,b100,1,1,0,b1010101001010101,b1,b1,b1010010110100101,0,b10,bx,b0,0,b11110111,b10,b101010010101010,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
440000,b11110111,0,bx,1,0,1,0,0,1,0,0,b1010101001010101,b1000,b100,1,1,0,b1010101001010101,b1,b1,b1010010110100101,0,b10,bx,b0,0,b11110111,b10,b101010010101010,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
450000,b11110111,0,bx,1,0,1,1,0,1,0,0,b1010101001010101,b1000,b101,1,1,0,b1010101001010101,b1,b10,b1010010110100101,0,b10,bx,b0,0,b11110111,b10,b101010010101010,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
460000,b11110111,0,bx,1,0,1,0,0,1,0,0,b1010101001010101,b1000,b101,1,1,0,b1010101001010101,b1,b10,b1010010110100101,0,b10,bx,b0,0,b11110111,b10,b101010010101010,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
470000,b11110111,0,bx,1,0,1,1,0,1,0,0,b1010101001010101,b1000,b110,1,1,0,b1010101001010101,b1,b11,b1010010110100101,0,b10,bx,b0,0,b11110111,b10,b101010010101010,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
480000,b11110111,0,bx,1,0,1,0,0,1,0,0,b1010101001010101,b1000,b110,1,1,0,b1010101001010101,b1,b11,b1010010110100101,0,b10,bx,b0,0,b11110111,b10,b101010010101010,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
490000,b11110111,0,bx,1,0,1,1,0,1,0,0,b1010101001010101,b1000,b111,1,1,0,b1010101001010101,b1,b0,b1010010110100101,0,b10,bx,b0,1,b11110111,b10,b101010010101010,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
500000,b11110111,0,bx,1,0,1,0,0,1,0,0,b1010101001010101,b1000,b111,1,1,0,b1010101001010101,b1,b0,b1010010110100101,0,b10,bx,b0,1,b11110111,b10,b101010010101010,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
510000,b11110111,1,bx,1,0,1,1,0,1,0,0,b1010101001010101,b1000,b1000,1,1,0,b1010101001010101,b1,b1,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b101010010101010,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
520000,b11110111,1,bx,1,0,1,0,0,1,0,0,b1010101001010101,b1000,b1000,1,1,0,b1010101001010101,b1,b1,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b101010010101010,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
530000,b11110111,1,bx,1,0,1,1,0,1,0,0,b1010101001010101,b1000,b1001,1,1,0,b1010101001010101,b1,b10,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b101010010101010,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
540000,b11110111,1,bx,1,0,1,0,0,1,0,0,b1010101001010101,b1000,b1001,1,1,0,b1010101001010101,b1,b10,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b101010010101010,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
550000,b11110111,1,bx,1,0,1,1,0,1,0,0,b1010101001010101,b1000,b1010,1,1,0,b1010101001010101,b1,b11,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b101010010101010,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
560000,b11110111,1,bx,1,0,1,0,0,1,0,0,b1010101001010101,b1000,b1010,1,1,0,b1010101001010101,b1,b11,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b101010010101010,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
570000,b11110111,1,bx,1,0,1,1,0,1,0,0,b1010101001010101,b1000,b1011,1,1,0,b1010101001010101,b1,b0,b1010010110100101,1,b10,bx,b0,0,b11110111,b10,b101010010101010,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
580000,b11110111,1,bx,1,0,1,0,0,1,0,0,b1010101001010101,b1000,b1011,1,1,0,b1010101001010101,b1,b0,b1010010110100101,1,b10,bx,b0,0,b11110111,b10,b101010010101010,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
590000,b11110111,0,bx,0,0,1,1,0,1,0,0,b1010101001010101,b1000,b1100,1,1,0,b1010101001010101,b10,b1,b1010010110100101,0,b10,bx,b0,0,b11110111,b10,b1010100101010100,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
600000,b11110111,0,bx,0,0,1,0,0,1,0,0,b1010101001010101,b1000,b1100,1,1,0,b1010101001010101,b10,b1,b1010010110100101,0,b10,bx,b0,0,b11110111,b10,b1010100101010100,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
610000,b11110111,0,bx,0,0,1,1,0,1,0,0,b1010101001010101,b1000,b1101,1,1,0,b1010101001010101,b10,b10,b1010010110100101,0,b10,bx,b0,0,b11110111,b10,b1010100101010100,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
620000,b11110111,0,bx,0,0,1,0,0,1,0,0,b1010101001010101,b1000,b1101,1,1,0,b1010101001010101,b10,b10,b1010010110100101,0,b10,bx,b0,0,b11110111,b10,b1010100101010100,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
630000,b11110111,0,bx,0,0,1,1,0,1,0,0,b1010101001010101,b1000,b1110,1,1,0,b1010101001010101,b10,b11,b1010010110100101,0,b10,bx,b0,0,b11110111,b10,b1010100101010100,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
640000,b11110111,0,bx,0,0,1,0,0,1,0,0,b1010101001010101,b1000,b1110,1,1,0,b1010101001010101,b10,b11,b1010010110100101,0,b10,bx,b0,0,b11110111,b10,b1010100101010100,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
650000,b11110111,0,bx,0,0,1,1,0,1,0,0,b1010101001010101,b1000,b1111,1,1,0,b1010101001010101,b10,b0,b1010010110100101,0,b10,bx,b0,1,b11110111,b10,b1010100101010100,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
660000,b11110111,0,bx,0,0,1,0,0,1,0,0,b1010101001010101,b1000,b1111,1,1,0,b1010101001010101,b10,b0,b1010010110100101,0,b10,bx,b0,1,b11110111,b10,b1010100101010100,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
670000,b11110111,1,bx,0,0,1,1,0,1,0,0,b1010101001010101,b1000,b10000,1,1,0,b1010101001010101,b10,b1,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b1010100101010100,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
680000,b11110111,1,bx,0,0,1,0,0,1,0,0,b1010101001010101,b1000,b10000,1,1,0,b1010101001010101,b10,b1,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b1010100101010100,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
690000,b11110111,1,bx,0,0,1,1,0,1,0,0,b1010101001010101,b1000,b10001,1,1,0,b1010101001010101,b10,b10,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b1010100101010100,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
700000,b11110111,1,bx,0,0,1,0,0,1,0,0,b1010101001010101,b1000,b10001,1,1,0,b1010101001010101,b10,b10,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b1010100101010100,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
710000,b11110111,1,bx,0,0,1,1,0,1,0,0,b1010101001010101,b1000,b10010,1,1,0,b1010101001010101,b10,b11,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b1010100101010100,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
720000,b11110111,1,bx,0,0,1,0,0,1,0,0,b1010101001010101,b1000,b10010,1,1,0,b1010101001010101,b10,b11,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b1010100101010100,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
730000,b11110111,1,bx,0,0,1,1,0,1,0,0,b1010101001010101,b1000,b10011,1,1,0,b1010101001010101,b10,b0,b1010010110100101,1,b10,bx,b0,0,b11110111,b10,b1010100101010100,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
740000,b11110111,1,bx,0,0,1,0,0,1,0,0,b1010101001010101,b1000,b10011,1,1,0,b1010101001010101,b10,b0,b1010010110100101,1,b10,bx,b0,0,b11110111,b10,b1010100101010100,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
750000,b11110111,0,bx,1,0,1,1,0,1,0,0,b1010101001010101,b1000,b10100,1,1,0,b1010101001010101,b11,b1,b1010010110100101,0,b10,bx,b0,0,b11110111,b10,b101001010101000,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
760000,b11110111,0,bx,1,0,1,0,0,1,0,0,b1010101001010101,b1000,b10100,1,1,0,b1010101001010101,b11,b1,b1010010110100101,0,b10,bx,b0,0,b11110111,b10,b101001010101000,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
770000,b11110111,0,bx,1,0,1,1,0,1,0,0,b1010101001010101,b1000,b10101,1,1,0,b1010101001010101,b11,b10,b1010010110100101,0,b10,bx,b0,0,b11110111,b10,b101001010101000,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
780000,b11110111,0,bx,1,0,1,0,0,1,0,0,b1010101001010101,b1000,b10101,1,1,0,b1010101001010101,b11,b10,b1010010110100101,0,b10,bx,b0,0,b11110111,b10,b101001010101000,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
790000,b11110111,0,bx,1,0,1,1,0,1,0,0,b1010101001010101,b1000,b10110,1,1,0,b1010101001010101,b11,b11,b1010010110100101,0,b10,bx,b0,0,b11110111,b10,b101001010101000,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
800000,b11110111,0,bx,1,0,1,0,0,1,0,0,b1010101001010101,b1000,b10110,1,1,0,b1010101001010101,b11,b11,b1010010110100101,0,b10,bx,b0,0,b11110111,b10,b101001010101000,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
810000,b11110111,0,bx,1,0,1,1,0,1,0,0,b1010101001010101,b1000,b10111,1,1,0,b1010101001010101,b11,b0,b1010010110100101,0,b10,bx,b0,1,b11110111,b10,b101001010101000,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
