Time (ns),SS_N,SCLK,DATA,MOSI,IRQ,BUSY,spi_master_tb.dut.clk,MISO,spi_master_tb.dut.rst_n,spi_master_tb.dut.start_rx,spi_master_tb.dut.start_tx,spi_master_tb.tx_data,spi_master_tb.ss_idx,spi_master_tb.timeout_cycles,spi_master_tb.dut.CPHA,spi_master_tb.dut.CPOL,spi_master_tb.dut.SS_ACTIVE,spi_master_tb.dut.tx_data,spi_master_tb.dut.bit_counter,spi_master_tb.dut.clk_counter,spi_master_tb.dut.default_data,spi_master_tb.dut.last_sclk,spi_master_tb.dut.next_state,DATA,spi_master_tb.dut.rx_shift_reg,spi_master_tb.dut.sclk_gen,SS_N,spi_master_tb.dut.state,spi_master_tb.dut.tx_shift_reg,spi_master_tb.assert_all_ss_inactive.tag,spi_master_tb.assert_selected_ss_active.tag,spi_master_tb.wait_for_busy_assert.tag,spi_master_tb.wait_for_busy_assert.max_cycles,spi_master_tb.wait_for_not_busy.tag,spi_master_tb.wait_for_not_busy.max_cycles
260000,b11111111,1,bx,0,0,0,0,0,1,0,0,b0,bx,bx,1,1,0,b0,b0,b0,b1010010110100101,1,b0,bx,b0,1,b11111111,b0,b0,bx,bx,bx,bx,bx,bx
270000,b11111111,1,bx,0,0,0,1,0,1,0,0,b0,bx,bx,1,1,0,b0,b0,b0,b1010010110100101,1,b0,bx,b0,1,b11111111,b0,b0,bx,bx,bx,bx,bx,bx
280000,b11111111,1,bx,0,0,0,0,0,1,0,0,b0,bx,bx,1,1,0,b0,b0,b0,b1010010110100101,1,b0,bx,b0,1,b11111111,b0,b0,bx,bx,bx,bx,bx,bx
290000,b11111111,1,bx,0,0,0,1,0,1,0,0,b0,bx,bx,1,1,0,b0,b0,b0,b1010010110100101,1,b0,bx,b0,1,b11111111,b0,b0,bx,bx,bx,bx,bx,bx
300000,b11111111,1,bx,0,0,0,0,0,1,0,1,b1010101001010101,bx,bx,1,1,0,b1010101001010101,b0,b0,b1010010110100101,1,b1,bx,b0,1,b11111111,b0,b0,bx,bx,bx,bx,bx,bx
310000,b11110111,1,bx,0,0,1,1,0,1,0,1,b1010101001010101,bx,bx,1,1,0,b1010101001010101,b0,b0,b1010010110100101,1,b10,bx,b0,1,b11110111,b1,b0,bx,bx,bx,bx,bx,bx
320000,b11110111,1,bx,0,0,1,0,0,1,0,1,b1010101001010101,bx,bx,1,1,0,b1010101001010101,b0,b0,b1010010110100101,1,b10,bx,b0,1,b11110111,b1,b0,bx,bx,bx,bx,bx,bx
330000,b11110111,1,bx,0,0,1,1,0,1,0,1,b1010101001010101,bx,bx,1,1,0,b1010101001010101,b0,b0,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b1010101001010101,bx,bx,bx,bx,bx,bx
340000,b11110111,1,bx,0,0,1,0,0,1,0,1,b1010101001010101,bx,bx,1,1,0,b1010101001010101,b0,b0,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b1010101001010101,bx,bx,bx,bx,bx,bx
350000,b11110111,1,bx,0,0,1,1,0,1,0,0,b1010101001010101,b1000,b0,1,1,0,b1010101001010101,b0,b1,b1010010110100101,1,b10,bx,b0,1,b11110111,b10,b1010101001010101,bx,b111010001100101011100110111010000110001010111110111010001111000,b111010001100101011100110111010000110001010111110111010001111000,b11111010000,b111010001100101011100110111010000110001010111110111010001111000,b100111000100000
