Signal Name,Width (bits),Total Changes,Current Value
spi_master_tb.ss_n,8,60,b11111111
spi_master_tb.dut.sclk,1,161,1
spi_master_tb.rx_data,16,4,b1111111111111111
spi_master_tb.dut.mosi,1,60,1
spi_master_tb.dut.irq,1,11,0
spi_master_tb.dut.busy,1,11,0
spi_master_tb.dut.clk,1,1368,1
spi_master_tb.dut.miso,1,2,1
spi_master_tb.dut.rst_n,1,2,1
spi_master_tb.dut.start_rx,1,3,0
spi_master_tb.dut.start_tx,1,9,0
spi_master_tb.tx_data,16,5,b1010101111001101
spi_master_tb.ss_idx,32,11,b1000
spi_master_tb.timeout_cycles,32,642,b10000010
spi_master_tb.dut.CPHA,1,1,1
spi_master_tb.dut.CPOL,1,1,1
spi_master_tb.dut.SS_ACTIVE,1,1,0
spi_master_tb.dut.tx_data,16,5,b1010101111001101
spi_master_tb.dut.bit_counter,16,85,b10000
spi_master_tb.dut.clk_counter,16,651,b0
spi_master_tb.dut.default_data,16,1,b1010010110100101
spi_master_tb.dut.last_sclk,1,161,1
spi_master_tb.dut.next_state,3,24,b0
spi_master_tb.dut.rx_data,16,4,b1111111111111111
spi_master_tb.dut.rx_shift_reg,16,50,b1111111111111111
spi_master_tb.dut.sclk_gen,1,161,1
spi_master_tb.dut.ss_n,8,60,b11111111
spi_master_tb.dut.state,3,21,b0
spi_master_tb.dut.tx_shift_reg,16,78,b0
spi_master_tb.assert_all_ss_inactive.tag,256,6,b11101000110010101110011011101000011010001011111011000110110111101101110011001100110100101100111010111110110001101101111011011010111000001101100011001010111010001100101
spi_master_tb.assert_selected_ss_active.tag,256,6,b11101000110010101110011011101000011010001011111011000110110111101101110011001100110100101100111
spi_master_tb.wait_for_busy_assert.tag,256,6,b11101000110010101110011011101000011010001011111011000110110111101101110011001100110100101100111
spi_master_tb.wait_for_busy_assert.max_cycles,32,2,b11111010000
spi_master_tb.wait_for_not_busy.tag,256,6,b11101000110010101110011011101000011010001011111011000110110111101101110011001100110100101100111
spi_master_tb.wait_for_not_busy.max_cycles,32,2,b100111000100000
