Time (ns),spi_master_tb.dut.bit_counter
0,b0
430000,b1
590000,b10
750000,b11
910000,b100
1070000,b101
1230000,b110
1390000,b111
1550000,b1000
1710000,b1001
1870000,b1010
2030000,b1011
2190000,b1100
2350000,b1101
2510000,b1110
2670000,b1111
2830000,b10000
3150000,b0
3250000,b1
3410000,b10
3570000,b11
3730000,b100
3890000,b101
4050000,b110
4210000,b111
4370000,b1000
4530000,b1001
4690000,b1010
4850000,b1011
5010000,b1100
5170000,b1101
5330000,b1110
5490000,b1111
5650000,b10000
5790000,b0
5890000,b1
6050000,b10
6210000,b11
6370000,b100
6530000,b101
6690000,b110
6850000,b111
7010000,b1000
7170000,b1001
7330000,b1010
7490000,b1011
7650000,b1100
7810000,b1101
7970000,b1110
8130000,b1111
8290000,b10000
8430000,b0
8530000,b1
8690000,b10
8850000,b11
9010000,b100
9170000,b101
9330000,b110
9490000,b111
9650000,b1000
9810000,b1001
9970000,b1010
10130000,b1011
10290000,b1100
10450000,b1101
10610000,b1110
10770000,b1111
10930000,b10000
11070000,b0
11170000,b1
11330000,b10
11490000,b11
11650000,b100
11810000,b101
11970000,b110
12130000,b111
12290000,b1000
12450000,b1001
12610000,b1010
12770000,b1011
12930000,b1100
13090000,b1101
13250000,b1110
13410000,b1111
13570000,b10000
