Time (ns),spi_master_tb.dut.clk_counter
8650000,b11
8670000,b0
8690000,b1
8710000,b10
8730000,b11
8750000,b0
8770000,b1
8790000,b10
8810000,b11
8830000,b0
8850000,b1
8870000,b10
8890000,b11
8910000,b0
8930000,b1
8950000,b10
8970000,b11
8990000,b0
9010000,b1
9030000,b10
9050000,b11
9070000,b0
9090000,b1
9110000,b10
9130000,b11
9150000,b0
9170000,b1
9190000,b10
9210000,b11
9230000,b0
9250000,b1
9270000,b10
9290000,b11
9310000,b0
9330000,b1
9350000,b10
9370000,b11
9390000,b0
9410000,b1
9430000,b10
9450000,b11
9470000,b0
9490000,b1
9510000,b10
9530000,b11
9550000,b0
9570000,b1
9590000,b10
9610000,b11
9630000,b0
9650000,b1
9670000,b10
9690000,b11
9710000,b0
9730000,b1
9750000,b10
9770000,b11
9790000,b0
9810000,b1
9830000,b10
9850000,b11
9870000,b0
9890000,b1
9910000,b10
9930000,b11
9950000,b0
9970000,b1
9990000,b10
10010000,b11
10030000,b0
10050000,b1
10070000,b10
10090000,b11
10110000,b0
10130000,b1
10150000,b10
10170000,b11
10190000,b0
10210000,b1
10230000,b10
10250000,b11
10270000,b0
10290000,b1
10310000,b10
10330000,b11
10350000,b0
10370000,b1
10390000,b10
10410000,b11
10430000,b0
10450000,b1
10470000,b10
10490000,b11
10510000,b0
10530000,b1
10550000,b10
10570000,b11
10590000,b0
10610000,b1
10630000,b10
10650000,b11
10670000,b0
10690000,b1
10710000,b10
10730000,b11
10750000,b0
10770000,b1
10790000,b10
10810000,b11
10830000,b0
10850000,b1
10870000,b10
10890000,b11
10910000,b0
10930000,b1
10950000,b10
10970000,b11
10990000,b0
11010000,b1
11030000,b0
11090000,b1
11110000,b10
11130000,b11
11150000,b0
11170000,b1
11190000,b10
11210000,b11
11230000,b0
11250000,b1
11270000,b10
11290000,b11
11310000,b0
11330000,b1
11350000,b10
11370000,b11
11390000,b0
11410000,b1
11430000,b10
11450000,b11
11470000,b0
11490000,b1
11510000,b10
11530000,b11
11550000,b0
11570000,b1
11590000,b10
11610000,b11
11630000,b0
11650000,b1
11670000,b10
11690000,b11
11710000,b0
11730000,b1
11750000,b10
11770000,b11
11790000,b0
11810000,b1
11830000,b10
11850000,b11
11870000,b0
11890000,b1
11910000,b10
11930000,b11
11950000,b0
11970000,b1
11990000,b10
12010000,b11
12030000,b0
12050000,b1
12070000,b10
12090000,b11
12110000,b0
12130000,b1
12150000,b10
12170000,b11
12190000,b0
12210000,b1
12230000,b10
12250000,b11
12270000,b0
12290000,b1
12310000,b10
12330000,b11
12350000,b0
12370000,b1
12390000,b10
12410000,b11
12430000,b0
12450000,b1
12470000,b10
12490000,b11
12510000,b0
12530000,b1
12550000,b10
12570000,b11
12590000,b0
12610000,b1
12630000,b10
12650000,b11
12670000,b0
12690000,b1
12710000,b10
12730000,b11
12750000,b0
12770000,b1
12790000,b10
12810000,b11
12830000,b0
12850000,b1
12870000,b10
12890000,b11
12910000,b0
12930000,b1
12950000,b10
12970000,b11
12990000,b0
13010000,b1
13030000,b10
13050000,b11
13070000,b0
13090000,b1
13110000,b10
13130000,b11
13150000,b0
13170000,b1
13190000,b10
13210000,b11
13230000,b0
13250000,b1
13270000,b10
13290000,b11
13310000,b0
13330000,b1
13350000,b10
13370000,b11
13390000,b0
13410000,b1
13430000,b10
13450000,b11
13470000,b0
13490000,b1
13510000,b10
13530000,b11
13550000,b0
13570000,b1
13590000,b10
13610000,b11
13630000,b0
13650000,b1
13670000,b0
