Time (ns),SCLK,MOSI,MISO,SS_N,BUSY,IRQ,DATA
0,0,1,0,1,0,0,x
2000,1,0,0,1,0,0,x
3000,1,0,1,1,0,0,x
4000,0,1,1,1,0,0,x
5000,0,1,0,1,0,0,x
6000,1,0,0,1,0,0,x
8000,0,1,1,1,0,0,x
10000,1,0,0,1,0,0,x
10200,1,0,0,0,1,0,x
12000,0,1,0,0,1,0,x
13000,0,1,1,0,1,0,x
14000,1,0,1,0,1,0,x
15000,1,0,0,0,1,0,x
16000,0,1,0,0,1,0,x
18000,1,0,1,0,1,0,x
20000,0,1,0,0,1,0,x
22000,1,0,0,0,1,0,x
23000,1,0,1,0,1,0,x
24000,0,1,1,0,1,0,x
25000,0,1,0,0,1,0,x
26000,1,0,0,0,1,0,x
28000,0,1,1,0,1,0,x
30000,1,0,0,1,1,0,x
32000,0,1,0,1,1,0,x
33000,0,1,1,1,1,0,x
34000,1,0,1,1,1,0,x
35000,1,0,0,1,0,1,x
35200,1,0,0,1,0,0,x
36000,0,1,0,1,0,0,x
38000,1,0,1,1,0,0,x
40000,0,1,0,1,0,0,x
42000,1,0,0,1,0,0,x
43000,1,0,1,1,0,0,x
44000,0,1,1,1,0,0,x
45000,0,1,0,1,0,0,x
46000,1,0,0,1,0,0,x
48000,0,1,1,1,0,0,x
50000,1,0,0,1,0,0,x
52000,0,1,0,1,0,0,x
53000,0,1,1,1,0,0,x
54000,1,0,1,1,0,0,x
55000,1,0,0,1,0,0,x
56000,0,1,0,1,0,0,x
58000,1,0,1,1,0,0,x
60000,0,1,0,1,0,0,x
62000,1,0,0,1,0,0,x
63000,1,0,1,1,0,0,x
64000,0,1,1,1,0,0,x
65000,0,1,0,1,0,0,x
66000,1,0,0,1,0,0,x
68000,0,1,1,1,0,0,x
70000,1,0,0,1,0,0,x
72000,0,1,0,1,0,0,x
73000,0,1,1,1,0,0,x
74000,1,0,1,1,0,0,x
75000,1,0,0,1,0,0,x
76000,0,1,0,1,0,0,x
78000,1,0,1,1,0,0,x
80000,0,1,0,1,0,0,x
82000,1,0,0,1,0,0,x
83000,1,0,1,1,0,0,x
84000,0,1,1,1,0,0,x
85000,0,1,0,1,0,0,x
86000,1,0,0,1,0,0,x
88000,0,1,1,1,0,0,x
90000,1,0,0,1,0,0,x
92000,0,1,0,1,0,0,x
93000,0,1,1,1,0,0,x
94000,1,0,1,1,0,0,x
95000,1,0,0,1,0,0,x
96000,0,1,0,1,0,0,x
98000,1,0,1,1,0,0,x
