Time (ns),spi_slave_tb.dut.tx_ready,spi_slave_tb.dut.rx_valid,DATA,MISO,IRQ,BUSY,spi_slave_tb.dut.clk,spi_slave_tb.expected_rx,MOSI,spi_slave_tb.dut.rst_n,spi_slave_tb.rx_valid_seen,SCLK,SS_N,spi_slave_tb.dut.tx_data,spi_slave_tb.i,spi_slave_tb.timeout_cycles,spi_slave_tb.dut.debug_bit_count,spi_slave_tb.dut.debug_state,spi_slave_tb.dut.irq_clear,spi_slave_tb.dut.sample_edge,spi_slave_tb.dut.shift_edge,spi_slave_tb.dut.ss_released,spi_slave_tb.dut.ss_selected,spi_slave_tb.dut.bit_counter,spi_slave_tb.dut.busy_reg,spi_slave_tb.dut.default_data,spi_slave_tb.dut.irq_reg,spi_slave_tb.dut.miso_reg,spi_slave_tb.dut.next_state,spi_slave_tb.dut.rx_data_reg,spi_slave_tb.dut.sclk_prev,spi_slave_tb.dut.sclk_sync,spi_slave_tb.dut.shift_reg_rx,spi_slave_tb.dut.shift_reg_tx,spi_slave_tb.dut.ss_n_prev,spi_slave_tb.dut.ss_n_sync,spi_slave_tb.dut.state
280000,1,0,0,0,0,0,0,0,0,1,0,0,1,0,bx,bx,b0,b0,0,0,0,1,0,b0,0,1,0,0,b0,0,0,0,0,0,1,1,b0
290000,1,0,0,0,0,0,1,0,0,1,0,0,1,0,bx,bx,b0,b0,0,0,0,1,0,b0,0,1,0,0,b0,0,0,0,0,0,1,1,b0
300000,1,0,0,0,0,0,0,1,1,1,0,0,1,0,bx,bx,b0,b0,0,0,0,1,0,b0,0,1,0,0,b0,0,0,0,0,0,1,1,b0
310000,1,0,0,0,0,0,1,1,1,1,0,0,1,0,bx,bx,b0,b0,0,0,0,1,0,b0,0,1,0,0,b0,0,0,0,0,0,1,1,b0
320000,1,0,0,0,0,0,0,1,1,1,0,0,1,0,bx,bx,b0,b0,0,0,0,1,0,b0,0,1,0,0,b0,0,0,0,0,0,1,1,b0
330000,1,0,0,0,0,0,1,1,1,1,0,0,1,0,bx,bx,b0,b0,0,0,0,1,0,b0,0,1,0,0,b0,0,0,0,0,0,1,1,b0
340000,1,0,0,0,0,0,0,1,1,1,0,0,1,0,bx,bx,b0,b0,0,0,0,1,0,b0,0,1,0,0,b0,0,0,0,0,0,1,1,b0
350000,1,0,0,0,0,0,1,1,1,1,0,0,1,0,bx,bx,b0,b0,0,0,0,1,0,b0,0,1,0,0,b0,0,0,0,0,0,1,1,b0
360000,1,0,0,0,0,0,0,1,1,1,0,0,1,0,bx,bx,b0,b0,0,0,0,1,0,b0,0,1,0,0,b0,0,0,0,0,0,1,1,b0
370000,1,0,0,0,0,0,1,1,1,1,0,0,1,0,bx,bx,b0,b0,0,0,0,1,0,b0,0,1,0,0,b0,0,0,0,0,0,1,1,b0
380000,1,0,0,0,0,0,0,1,1,1,0,0,1,0,bx,bx,b0,b0,0,0,0,1,0,b0,0,1,0,0,b0,0,0,0,0,0,1,1,b0
390000,1,0,0,0,0,0,1,1,1,1,0,0,1,0,bx,bx,b0,b0,0,0,0,1,0,b0,0,1,0,0,b0,0,0,0,0,0,1,1,b0
400000,1,0,0,0,0,0,0,1,1,1,0,0,0,0,bx,b0,b0,b0,0,0,0,0,1,b0,0,1,0,0,b1,0,0,0,0,0,1,1,b0
410000,0,0,0,0,0,1,1,1,1,1,0,0,0,0,bx,b0,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,1,0,b1
420000,0,0,0,0,0,1,0,1,1,1,0,0,0,0,bx,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,1,0,b1
430000,0,0,0,0,0,1,1,1,1,1,0,0,0,0,bx,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
440000,0,0,0,0,0,1,0,1,1,1,0,0,0,0,bx,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
450000,0,0,0,0,0,1,1,1,1,1,0,0,0,0,bx,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
460000,0,0,0,0,0,1,0,1,1,1,0,0,0,0,bx,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
470000,0,0,0,0,0,1,1,1,1,1,0,0,0,0,bx,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
480000,0,0,0,0,0,1,0,1,1,1,0,0,0,0,bx,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
490000,0,0,0,0,0,1,1,1,1,1,0,0,0,0,bx,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
500000,0,0,0,0,0,1,0,1,1,1,0,0,0,0,bx,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
510000,0,0,0,0,0,1,1,1,1,1,0,0,0,0,bx,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
520000,0,0,0,0,0,1,0,1,1,1,0,0,0,0,b0,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
530000,0,0,0,0,0,1,1,1,1,1,0,0,0,0,b0,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
540000,0,0,0,0,0,1,0,1,1,1,0,0,0,0,b0,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
550000,0,0,0,0,0,1,1,1,1,1,0,0,0,0,b0,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
560000,0,0,0,0,0,1,0,1,1,1,0,0,0,0,b0,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
570000,0,0,0,0,0,1,1,1,1,1,0,0,0,0,b0,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
580000,0,0,0,0,0,1,0,1,1,1,0,0,0,0,b0,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
590000,0,0,0,0,0,1,1,1,1,1,0,0,0,0,b0,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
600000,0,0,0,0,0,1,0,1,1,1,0,0,0,0,b0,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
610000,0,0,0,0,0,1,1,1,1,1,0,0,0,0,b0,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
620000,0,0,0,0,0,1,0,1,1,1,0,1,0,0,b0,b1,b0,b1,0,0,0,0,1,b0,1,1,0,0,b1,0,0,0,0,0,0,0,b1
630000,0,0,0,0,0,1,1,1,1,1,0,1,0,0,b0,b1,b0,b1,0,1,0,0,1,b0,1,1,0,0,b1,0,0,1,0,0,0,0,b1
640000,0,0,0,0,0,1,0,1,1,1,0,1,0,0,b0,b1,b0,b1,0,1,0,0,1,b0,1,1,0,0,b1,0,0,1,0,0,0,0,b1
650000,0,0,0,0,0,1,1,1,1,1,0,1,0,0,b0,b1,b1,b1,0,0,0,0,1,b1,1,1,0,0,b11,0,1,1,1,0,0,0,b1
660000,0,0,0,0,0,1,0,1,1,1,0,1,0,0,b0,b1,b1,b1,0,0,0,0,1,b1,1,1,0,0,b11,0,1,1,1,0,0,0,b1
670000,0,1,0,0,0,1,1,1,1,1,0,1,0,0,b0,b1,b1,b11,0,0,0,0,1,b1,1,1,0,0,b11,0,1,1,1,0,0,0,b11
680000,0,1,0,0,0,1,0,1,1,1,0,1,0,0,b0,b1,b1,b11,0,0,0,0,1,b1,1,1,0,0,b11,0,1,1,1,0,0,0,b11
690000,0,1,1,0,1,1,1,1,1,1,1,1,0,0,b0,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,1,1,1,0,0,0,b11
700000,0,1,1,0,1,1,0,1,1,1,1,1,0,0,b0,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,1,1,1,0,0,0,b11
710000,0,1,1,0,1,1,1,1,1,1,1,1,0,0,b0,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,1,1,1,0,0,0,b11
720000,0,1,1,0,1,1,0,1,1,1,1,0,0,0,b0,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,1,1,1,0,0,0,b11
730000,0,1,1,0,1,1,1,1,1,1,1,0,0,0,b0,b1,b1,b11,0,0,1,0,1,b1,1,1,1,0,b11,1,1,0,1,0,0,0,b11
740000,0,1,1,0,1,1,0,1,1,1,1,0,0,0,b0,b1,b1,b11,0,0,1,0,1,b1,1,1,1,0,b11,1,1,0,1,0,0,0,b11
750000,0,1,1,0,1,1,1,1,1,1,1,0,0,0,b0,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
760000,0,1,1,0,1,1,0,1,1,1,1,0,0,0,b0,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
770000,0,1,1,0,1,1,1,1,1,1,1,0,0,0,b0,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
780000,0,1,1,0,1,1,0,1,1,1,1,0,0,0,b0,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
790000,0,1,1,0,1,1,1,1,1,1,1,0,0,0,b0,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
800000,0,1,1,0,1,1,0,1,1,1,1,0,0,0,b0,b1,b1,b11,0,0,0,0,1,b1,1,1,1,0,b11,1,0,0,1,0,0,0,b11
