Time (ns),spi_master_tb.dut.clk_counter
7770000,b1111010
7790000,b1111011
7810000,b1111100
7830000,b1111101
7850000,b1111110
7870000,b1111111
7890000,b10000000
7910000,b10000001
7930000,b10000010
7950000,b10000011
7970000,b10000100
7990000,b10000101
8010000,b10000110
8030000,b10000111
8050000,b10001000
8070000,b10001001
8090000,b10001010
8110000,b10001011
8130000,b10001100
8150000,b10001101
8170000,b10001110
8190000,b10001111
8210000,b10010000
8230000,b10010001
8250000,b10010010
8270000,b10010011
8290000,b10010100
8310000,b10010101
8330000,b10010110
8350000,b10010111
8370000,b10011000
8390000,b10011001
8410000,b10011010
8430000,b10011011
8450000,b10011100
8470000,b10011101
8490000,b10011110
8510000,b10011111
8530000,b10100000
8550000,b10100001
8570000,b10100010
8590000,b10100011
8610000,b10100100
8630000,b10100101
8650000,b10100110
8670000,b10100111
8690000,b10101000
8710000,b10101001
8730000,b10101010
8750000,b10101011
8770000,b10101100
8790000,b10101101
8810000,b10101110
8830000,b10101111
8850000,b10110000
8870000,b10110001
8890000,b10110010
8910000,b10110011
8930000,b10110100
8950000,b10110101
8970000,b10110110
8990000,b10110111
9010000,b10111000
9030000,b10111001
9050000,b10111010
9070000,b10111011
9090000,b10111100
9110000,b10111101
9130000,b10111110
9150000,b10111111
9170000,b11000000
9190000,b11000001
9210000,b11000010
9230000,b11000011
9250000,b11000100
9270000,b11000101
9290000,b11000110
9310000,b11000111
9330000,b11001000
9350000,b11001001
9370000,b11001010
9390000,b11001011
9410000,b11001100
9430000,b11001101
9450000,b11001110
9470000,b11001111
9490000,b11010000
9510000,b11010001
9530000,b11010010
9550000,b11010011
9570000,b11010100
9590000,b11010101
9610000,b11010110
9630000,b11010111
9650000,b11011000
9670000,b11011001
9690000,b11011010
9710000,b11011011
9730000,b11011100
9750000,b11011101
9770000,b11011110
9790000,b11011111
9810000,b11100000
9830000,b11100001
9850000,b11100010
9870000,b11100011
9890000,b11100100
9910000,b11100101
9930000,b11100110
9950000,b11100111
9970000,b11101000
9990000,b11101001
10010000,b11101010
10030000,b11101011
10050000,b11101100
10070000,b11101101
10090000,b11101110
10110000,b11101111
10130000,b11110000
10150000,b11110001
10170000,b11110010
10190000,b11110011
10210000,b11110100
10230000,b11110101
10250000,b11110110
10270000,b11110111
10290000,b11111000
10310000,b11111001
10330000,b0
10350000,b1
10370000,b10
10390000,b11
10410000,b100
10430000,b101
10450000,b110
10470000,b111
10490000,b1000
10510000,b1001
10530000,b1010
10550000,b1011
10570000,b1100
10590000,b1101
10610000,b1110
10630000,b1111
10650000,b10000
10670000,b10001
10690000,b10010
10710000,b10011
10730000,b10100
10750000,b10101
10770000,b10110
10790000,b10111
10810000,b11000
10830000,b11001
10850000,b11010
10870000,b11011
10890000,b11100
10910000,b11101
10930000,b11110
10950000,b11111
10970000,b100000
10990000,b100001
11010000,b100010
11030000,b100011
11050000,b100100
11070000,b100101
11090000,b100110
11110000,b100111
11130000,b101000
11150000,b101001
11170000,b101010
11190000,b101011
11210000,b101100
11230000,b101101
11250000,b101110
11270000,b101111
11290000,b110000
11310000,b110001
11330000,b110010
11350000,b110011
11370000,b110100
11390000,b110101
11410000,b110110
11430000,b110111
11450000,b111000
11470000,b111001
11490000,b111010
11510000,b111011
11530000,b111100
11550000,b111101
11570000,b111110
11590000,b111111
11610000,b1000000
11630000,b1000001
11650000,b1000010
11670000,b1000011
11690000,b1000100
11710000,b1000101
11730000,b1000110
11750000,b1000111
11770000,b1001000
11790000,b1001001
11810000,b1001010
11830000,b1001011
11850000,b1001100
11870000,b1001101
11890000,b1001110
11910000,b1001111
11930000,b1010000
11950000,b1010001
11970000,b1010010
11990000,b1010011
12010000,b1010100
12030000,b1010101
12050000,b1010110
12070000,b1010111
12090000,b1011000
12110000,b1011001
12130000,b1011010
12150000,b1011011
12170000,b1011100
12190000,b1011101
12210000,b1011110
12230000,b1011111
12250000,b1100000
12270000,b1100001
12290000,b1100010
12310000,b1100011
12330000,b1100100
12350000,b1100101
12370000,b1100110
12390000,b1100111
12410000,b1101000
12430000,b1101001
12450000,b1101010
12470000,b1101011
12490000,b1101100
12510000,b1101101
12530000,b1101110
12550000,b1101111
12570000,b1110000
12590000,b1110001
12610000,b1110010
12630000,b1110011
12650000,b1110100
12670000,b1110101
12690000,b1110110
12710000,b1110111
12730000,b1111000
12750000,b1111001
12770000,b1111010
12790000,b1111011
12810000,b1111100
12830000,b1111101
12850000,b1111110
12870000,b1111111
12890000,b10000000
12910000,b10000001
12930000,b10000010
12950000,b10000011
12970000,b10000100
12990000,b10000101
13010000,b10000110
13030000,b10000111
13050000,b10001000
13070000,b10001001
13090000,b10001010
13110000,b10001011
13130000,b10001100
13150000,b10001101
13170000,b10001110
13190000,b10001111
13210000,b10010000
13230000,b10010001
13250000,b10010010
13270000,b10010011
13290000,b10010100
13310000,b10010101
13330000,b10010110
13350000,b10010111
13370000,b10011000
13390000,b10011001
13410000,b10011010
13430000,b10011011
13450000,b10011100
13470000,b10011101
13490000,b10011110
13510000,b10011111
13530000,b10100000
13550000,b10100001
13570000,b10100010
13590000,b10100011
13610000,b10100100
13630000,b10100101
13650000,b10100110
13670000,b10100111
13690000,b10101000
13710000,b10101001
13730000,b10101010
13750000,b10101011
13770000,b10101100
13790000,b10101101
13810000,b10101110
13830000,b10101111
13850000,b10110000
13870000,b10110001
13890000,b10110010
13910000,b10110011
13930000,b10110100
13950000,b10110101
13970000,b10110110
13990000,b10110111
14010000,b10111000
14030000,b10111001
14050000,b10111010
14070000,b10111011
14090000,b10111100
14110000,b10111101
14130000,b10111110
14150000,b10111111
14170000,b11000000
14190000,b11000001
14210000,b11000010
14230000,b11000011
14250000,b11000100
14270000,b11000101
14290000,b11000110
14310000,b11000111
14330000,b11001000
14350000,b11001001
14370000,b11001010
14390000,b11001011
14410000,b11001100
14430000,b11001101
14450000,b11001110
14470000,b11001111
14490000,b11010000
14510000,b11010001
14530000,b11010010
14550000,b11010011
14570000,b11010100
14590000,b11010101
14610000,b11010110
14630000,b11010111
14650000,b11011000
14670000,b11011001
14690000,b11011010
14710000,b11011011
14730000,b11011100
14750000,b11011101
14770000,b11011110
14790000,b11011111
14810000,b11100000
14830000,b11100001
14850000,b11100010
14870000,b11100011
14890000,b11100100
14910000,b11100101
14930000,b11100110
14950000,b11100111
14970000,b11101000
14990000,b11101001
15010000,b11101010
15030000,b11101011
15050000,b11101100
15070000,b11101101
15090000,b11101110
15110000,b11101111
15130000,b11110000
15150000,b11110001
15170000,b11110010
15190000,b11110011
