Time (ns),spi_dual_tb.dut.sclk_in
0,0
1025000,1
1050000,0
1075000,1
1100000,0
1125000,1
1150000,0
1175000,1
1200000,0
1225000,1
1250000,0
1275000,1
1300000,0
1325000,1
1350000,0
1375000,1
1400000,0
