Time (ns),spi_dual_tb.dut.slave_sclk_last_state
0,1
2970000,0
3010000,1
3070000,0
3110000,1
3170000,0
3210000,1
3270000,0
3310000,1
3370000,0
3410000,1
3470000,0
3510000,1
3570000,0
3610000,1
3670000,0
3710000,1
