Time (ns),SCLK,MOSI,MISO,SS_N,BUSY,IRQ,DATA
1550000,0,1,b1110,0,bx,0,0
1560000,0,1,b1110,0,bx,0,0
1570000,0,1,b1110,0,bx,0,1
1580000,0,1,b1110,0,bx,0,1
1590000,0,0,b1110,0,bx,0,1
1600000,0,0,b1110,0,bx,0,1
1610000,0,1,b1110,0,bx,0,1
1620000,0,1,b1110,0,bx,0,1
1630000,0,1,b1110,0,bx,0,0
1640000,0,1,b1110,0,bx,0,0
1650000,0,0,b1110,0,bx,0,0
1660000,0,0,b1110,0,bx,0,0
1670000,0,1,b1110,0,bx,0,0
1680000,0,1,b1110,0,bx,0,0
1690000,0,1,b1110,0,bx,0,1
1700000,0,1,b1110,0,bx,0,1
1710000,0,0,b1110,0,bx,0,1
1720000,0,0,b1110,0,bx,0,1
1730000,0,1,b1110,0,bx,0,1
1740000,0,1,b1110,0,bx,0,1
1750000,0,1,b1110,0,bx,0,1
1760000,0,1,b1110,0,bx,0,1
1770000,0,0,b1110,0,bx,0,1
1780000,0,0,b1110,0,bx,0,1
1790000,0,1,b1110,0,bx,0,1
1800000,0,1,b1110,0,bx,0,1
1810000,0,1,b1110,0,bx,0,0
1820000,0,1,b1110,0,bx,0,0
1830000,0,0,b1110,0,bx,0,0
1840000,0,0,b1110,0,bx,0,0
1850000,0,1,b1110,0,bx,0,0
1860000,0,1,b1110,0,bx,0,0
1870000,0,1,b1110,0,bx,0,1
1880000,0,1,b1110,0,bx,0,1
1890000,0,0,b1110,0,bx,0,1
1900000,0,0,b1110,0,bx,0,1
1910000,0,1,b1110,0,bx,0,1
1920000,0,1,b1110,0,bx,0,1
1930000,0,1,b1110,0,bx,0,0
1940000,0,1,b1110,0,bx,0,0
1950000,0,0,b1110,0,bx,0,0
1960000,0,0,b1110,0,bx,0,0
1970000,0,1,b1110,0,bx,0,0
1980000,0,1,b1110,0,bx,0,0
1990000,0,1,b1110,0,bx,0,0
2000000,0,1,b1110,0,bx,0,0
2010000,0,0,b1110,0,bx,0,0
2020000,0,0,b1110,0,bx,0,0
2030000,0,1,b1110,0,bx,0,0
2040000,0,1,b1110,0,bx,0,0
2050000,0,1,b1110,0,bx,0,1
2060000,0,1,b1110,0,bx,0,1
2070000,0,0,b1110,0,bx,0,1
