Time (ns),spi_dual_tb.dut.slave_timeout_counter
0,b0
2930000,b1
2950000,b10
2970000,b11
2990000,b100
3010000,b101
3030000,b110
3050000,b111
3070000,b1000
3090000,b1001
3110000,b1010
3130000,b1011
3150000,b1100
3170000,b1101
3190000,b1110
3210000,b1111
3230000,b10000
3250000,b10001
3270000,b10010
3290000,b10011
3310000,b10100
3330000,b10101
3350000,b10110
3370000,b10111
3390000,b11000
3410000,b11001
3430000,b11010
3450000,b11011
3470000,b11100
3490000,b11101
3510000,b11110
3530000,b11111
3550000,b100000
3570000,b100001
3590000,b100010
3610000,b100011
3630000,b100100
3650000,b100101
3670000,b100110
3690000,b100111
3710000,b101000
3730000,b101001
3750000,b101010
3770000,b101011
3790000,b101100
3810000,b101101
3830000,b0
