Time (ns),spi_dual_tb.dut.sclk_in
0,1
2960000,0
3010000,1
3060000,0
3110000,1
3160000,0
3210000,1
3260000,0
3310000,1
3360000,0
3410000,1
3460000,0
3510000,1
3560000,0
3610000,1
3660000,0
3710000,1
